NAME:,walk_5_1.csv,,
EXPERIMENT TIME:,25/05/2022 15:52,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
7.18,-4.28,2.79,-17.5
7.221,-8,3.02,-15.1
7.262,-5.22,0.86,-14.95
7.303,-0.39,2.67,-16.2
7.344,-3.41,4.98,-15.85
7.385,-2.12,1.73,-15.38
7.426,-1.96,2.28,-14.98
7.467,-0.2,3.1,-15.42
7.508,2,1.77,-14
7.549,3.92,0.82,-13.57
7.59,3.45,0.16,-11.61
7.631,1.1,0.9,-9.77
7.672,3.33,-0.2,-10.36
7.713,3.49,-1.61,-9.45
7.754,4.79,-0.2,-11.57
7.795,6.47,-0.47,-12.51
7.836,-0.63,0.82,-11.45
7.877,2.08,4.98,-15.22
7.918,1.69,5.45,-15.81
7.959,-1.02,1.96,-12.51
8,-0.16,4.79,-12.63
8.041,-0.67,3.14,-12.59
8.082,-1.61,0.59,-12.98
8.123,-2.55,-0.59,-13.69
8.164,-4.39,2.43,-14.44
8.205,-5.84,1.1,-12.79
8.246,-7.22,0.12,-12.12
8.287,-5.41,2.39,-13.61
8.328,-5.37,3.3,-16.63
8.369,-5.81,2.79,-15.18
8.41,-6.32,2.2,-14.36
8.451,-0.08,2.47,-16.32
8.492,-2.16,4.94,-16
8.533,-2.71,3.53,-16.16
8.574,-1.37,3.1,-16.4
8.615,-0.55,3.26,-16.32
8.656,1.29,1.92,-16.12
8.697,2.43,1.18,-13.85
8.738,3.92,1.49,-12.55
8.779,3.61,0.82,-10.98
8.82,-0.27,-0.94,-7.88
8.861,3.84,-1.06,-8.87
8.902,4.55,-0.2,-9.53
8.943,5.06,-0.12,-11.18
8.984,5.69,-0.67,-13.26
9.025,-1.77,0.78,-12.28
9.066,3.37,4.98,-16.36
9.107,2.67,4.47,-17.73
9.148,0.08,1.06,-16.99
9.189,-2.67,4.47,-17.02
9.23,-5.96,4.2,-15.22
9.271,-4.98,0.08,-14.12
9.313,-4.82,1.26,-13.18
9.354,-3.92,1.65,-12.12
9.395,-3.88,1.22,-11.34
9.436,-4.71,0.94,-11.14
9.477,-4.67,1.73,-11.92
9.518,-3.84,2.08,-14.79
9.559,-5.33,2.24,-15.53
9.6,-8.08,3.1,-14.44
9.641,-4.51,2.31,-16.79
9.682,-2.28,2.2,-18.67
9.723,-2,3.45,-18.95
9.764,-0.2,1.53,-18.04
9.805,-0.12,2.59,-16.67
9.846,3.26,1.88,-15.53
9.887,4.39,1.02,-13.45
9.928,3.18,1.18,-11.89
9.969,2.43,-0.04,-10.08
10.01,2.51,-1.45,-8.75
10.051,2.94,-0.27,-8.47
10.092,4.12,-0.35,-8.79
10.133,4.24,0.31,-10.83
10.174,4.59,-1.29,-13.61
10.215,-0.43,1.77,-14.4
10.256,0.47,6.39,-17.89
10.297,-0.43,1.61,-17.65
10.338,-3.73,2.31,-15.02
10.379,-3.02,4.79,-13.77
10.42,-3.77,2.75,-12
10.461,-2.39,0.51,-11.38
10.502,-1.84,0.9,-12
10.543,-2.71,0.78,-11.73
10.584,-3.61,0,-11.1
10.625,-5.02,-0.31,-10.79
10.666,-5.61,3.06,-13.81
10.707,-5.1,3.53,-17.1
10.748,-6.43,1.22,-14.75
10.789,-8.79,2.16,-13.06
10.83,-1.77,3.33,-16.28
10.871,-1.92,4.98,-15.65
10.912,-1.8,3.1,-14.63
10.953,-0.75,3.22,-14.16
10.994,-1.1,3.92,-13.81
11.035,0.86,3.37,-13.69
11.076,2.08,2.08,-13.14
11.117,2.16,1.22,-13.02
11.158,1.22,0.04,-11.34
11.199,1.61,0.2,-11.1
11.24,2.82,-0.63,-10.51
11.281,3.96,-0.98,-11.1
11.322,5.02,-0.67,-11.45
11.363,1.69,-1.53,-10.98
11.404,0.2,4.71,-12.55
11.445,5.14,5.77,-15.69
11.486,1.18,1.77,-13.49
11.527,-0.47,3.02,-12
11.568,-0.86,6.9,-12.2
11.609,-0.71,5.92,-12.75
11.65,-1.57,-0.86,-13.38
11.692,-4.51,1.14,-14.04
11.733,-5.41,1.65,-13.77
11.774,-7.18,0.12,-11.69
11.815,-5.84,0.67,-11.69
11.856,-4.24,1.88,-13.81
11.897,-4.67,2.43,-17.22
11.938,-7.65,3.14,-14.67
11.979,-4.39,0.12,-14.95
12.02,-2.9,3.22,-16.04
12.061,-1.29,3.88,-17.26
12.102,-1.26,2.67,-17.46
12.143,-0.51,3.49,-17.14
12.184,-0.04,2.55,-15.22
12.225,2.51,1.96,-13.77
12.266,4.12,1.49,-12.51
12.307,2.9,0.12,-10.32
12.348,2.39,-0.24,-9.18
12.389,3.49,0.43,-8.98
12.43,3.84,-1.1,-8.63
12.471,5.14,-0.16,-10.63
12.512,6.67,-1.65,-13.1
12.553,-0.78,1.22,-13.38
12.594,0.43,5.18,-15.49
12.635,3.26,4.12,-18.95
12.676,-2.43,2.12,-15.97
12.717,-1.92,4.98,-14.79
12.758,-4.16,3.92,-13.1
12.799,-3.8,0.86,-11.85
12.84,-2.59,1.02,-12.36
12.881,-2.31,1.41,-11.77
12.922,-2.63,0.55,-10.43
12.963,-3.92,0.08,-10.12
13.004,-5.3,2.04,-12.04
13.045,-4.86,3.06,-16.59
13.086,-6.55,2.79,-16.99
13.127,-9.3,2.82,-14.95
13.168,-3.77,2.35,-16.44
13.209,-0.63,4,-17.65
13.25,-1.73,2.82,-16.91
13.291,0.08,2.47,-15.49
13.332,-0.35,2.35,-14.32
13.373,1.88,3.8,-14.95
13.414,3.02,1.14,-13.34
13.455,2.82,-0.47,-11.77
