NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,25-05-22 18:12,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
6.498,0.51,-1.77,7.73
6.531,0.16,-1.22,7.49
6.564,2.75,-1.65,8.83
6.597,3.57,-2.28,10.47
6.633,2.82,-1.1,12.12
6.665,-2.98,-1.84,11.38
6.698,7.02,-3.84,13.22
6.73,4.35,0.63,11.34
6.762,-5.65,-7.85,15.53
6.795,-5.88,-9.06,16.32
6.812,-2.2,3.45,10.55
6.837,-2.31,3.06,7.34
6.886,-2.75,-4,9.49
6.913,-2.35,-6.83,13.38
6.933,-1.96,-3.53,7.77
6.967,-5.92,-0.27,4.59
7.003,-3.06,0.16,8.43
7.035,-3.1,0.31,8.2
7.064,-0.94,-1.45,8.12
7.108,-1.14,-0.67,8.83
7.139,-1.57,0.63,8.04
7.173,-2.55,0.35,8.04
7.209,-2.67,-0.75,9.18
7.241,-2.16,-1.49,11.18
7.274,-3.53,-0.75,10
7.306,-2.98,3.69,10.75
7.339,-0.08,-2.28,12.55
7.371,-8.04,0.27,13.77
7.396,-9.1,5.61,9.61
7.413,-7.22,-3.92,13.42
7.446,-2.28,-8.83,12.71
7.478,-1.49,-2.63,14.95
7.512,-2.43,-1.02,9.77
7.545,-3.73,-1.1,9.26
7.586,-2.24,-1.84,7.49
7.618,-2.16,-2.31,8.32
7.65,-1.18,-2.39,5.65
7.683,0.67,-2.47,6.28
7.714,0.98,-2.71,6.79
7.749,0.98,-0.51,4.94
7.821,0.75,-0.12,8.36
7.842,2.9,-1.65,9.73
7.892,2.75,-1.49,11.26
7.956,-0.82,-0.9,13.89
7.996,5.02,-2.94,13.3
8.03,5.88,-0.63,15.14
8.045,-0.67,-1.22,12.36
8.066,-4,2.79,8.16
8.1,-3.02,-1.1,8.9
8.133,-3.06,-6.83,11.69
8.165,-2.28,-5.22,9.14
8.193,-2.24,-2.35,7.57
8.224,-2.04,0.08,6.83
8.26,-2.82,0.71,7.45
8.292,-1.96,0.9,8.75
8.325,-1.02,0.16,9.85
8.357,-2.04,0.24,8.75
8.373,-4.71,-0.82,8.63
8.413,-3.41,-1.33,10.04
8.46,-1.8,-0.43,11.45
8.494,-1.92,-0.16,10.2
8.526,-3.8,-0.24,10.36
8.541,-2.51,2.51,11.49
8.589,-0.12,-3.18,12.4
8.622,-4.86,0.27,12.4
8.639,-6.71,2.35,11.96
8.662,-10.32,-1.65,12.55
8.695,-2.31,-5.65,9.96
8.727,-2.82,-1.96,12.24
8.76,-1.26,-0.67,14.16
8.793,-4.51,0.16,9.89
8.829,-2.39,-1.37,6.94
8.861,-2.86,-2.9,7.61
