NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,24/05/2022 15:45,,
ACTIVITY TYPE:,Walking,,
Count of actual steps:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
245.51,12.16,7.3,9.53
245.56,7.45,5.77,5.02
245.61,5.26,4.98,4.47
245.66,4.51,3.3,5.77
245.71,6.75,3.26,6.59
245.76,4.51,3.84,6.08
245.81,4.35,4.39,5.49
245.87,5.14,2.59,6.47
245.92,6.24,3.14,7.73
245.97,8.12,2.9,8.51
246.02,6.59,5.53,8.24
246.07,10.16,3.53,10.4
246.12,11.06,5.84,9.3
246.17,8.55,9.77,5.14
246.22,6.83,3.1,4.24
246.27,9.57,1.57,4.51
246.32,6.51,2.75,4.75
246.37,5.53,2.86,5.06
246.43,5.41,1.49,5.26
246.48,6.35,0.9,6.35
246.53,6,1.02,6.43
246.58,7.77,1.06,7.53
246.63,9.06,2.55,8.55
246.68,10.79,3.14,12.28
246.73,13.18,6.16,10.43
246.78,5.77,4.04,5.69
246.83,4.08,5.41,5.45
246.88,8.12,5.37,7.3
246.94,5.33,0.94,6.24
246.99,4.98,1.22,7.96
247.04,4.98,3.88,6.83
247.09,4.86,2.71,7.06
247.14,5.57,2.82,7.02
247.19,6.79,3.14,7.96
247.24,6.98,5.02,9.38
247.29,12.16,3.84,10.94
247.34,9.85,8.47,7.77
247.4,7.1,7.88,6.63
247.45,6.75,4.71,4.71
247.5,8.51,4.16,6.2
247.55,6.39,2.75,6.12
247.6,5.45,3.02,4.9
247.65,5.81,1.37,5.3
247.7,5.26,0.71,5.69
247.75,6.08,0.55,5.65
247.8,7.65,1.37,6.12
247.85,10.28,2.35,9.14
247.9,12.47,1.02,13.02
247.96,12.55,4.79,7.26
248.01,8.2,2.75,6.32
248.06,5.37,4.59,4.2
248.11,5.45,4.43,5.18
248.16,6.28,1.29,6.32
248.21,4.31,2.28,5.41
248.26,5.37,4.63,5.81
248.31,6.39,3.06,6.98
248.36,6.79,2.28,6.39
248.41,8,3.18,8.59
248.47,6.98,5.26,8.28
248.52,11.61,2.47,8.51
248.57,11.57,6.47,9.26
248.62,8.43,10.16,5.84
248.67,5.84,3.61,4.51
248.72,7.96,3.65,4.24
