NAME:,run3,,
EXPERIMENT TIME:,24-05-22 16:46,,
Activity,Running,,
COUNT OF ACTUAL STEPS,122,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.12,9.61,1.96
0.046,-3.37,10.24,1.18
0.091,-2.47,7.73,3.02
0.136,-7.88,8.16,3.22
0.18,-8,3.14,1.73
0.226,-10.71,8.63,4.47
0.273,-14.67,10.12,4.24
0.32,-12,12.83,5.14
0.365,-9.38,9.73,2.35
0.41,-5.3,6.43,1.14
0.455,-0.2,3.41,-1.53
0.5,0.12,0.47,-1.77
0.546,-2.9,-0.59,0.55
0.593,-14.2,-3.02,5.61
0.638,0.43,20.01,4.47
0.684,-12.98,8.55,0.67
0.73,-17.46,18.91,6.32
0.777,-10.2,13.3,4.12
0.823,-3.53,3.45,-0.2
0.869,-0.04,1.33,-2.31
0.916,-0.78,-0.63,-2
0.963,-1.96,-0.24,-0.43
1.01,-2.31,-0.24,-0.47
1.055,-0.43,1.77,17.22
1.102,-20.01,20.01,4.98
1.148,-6.63,12,8.361043142
1.285,0.16,0.98,-1.371043277
1.834,0.27,1.02,1.771043825
2.111,1.45,1.49,-4.2
2.156,1.69,-4.67,-2.94
2.201,2.55,-0.24,1.14
2.246,-5.06,0.82,0.24
2.292,-0.98,2.2,-0.04
2.337,1.49,14.04,6.71
2.385,-20.01,11.92,17.77
2.431,-12.67,12.32,7.81
2.478,-10.08,13.22,5.18
2.524,-7.18,5.73,-1.37
2.57,0.94,-1.18,-1.84
2.616,0.43,-2.9,-1.33
2.662,-0.31,-1.18,0.75
2.706,-2.79,0.78,0.75
2.751,2.39,2.59,20.01
2.8,-19.73,20.01,-19.89
2.846,-3.26,10.98,3.77
2.893,-17.5,15.85,1.37
2.938,-6.39,9.81,2.79
2.982,1.65,2.31,-3.18
3.028,1.84,-4.31,-2.63
3.074,-1.26,-0.55,2.55
3.12,-2.04,1.02,-0.9
3.166,-10.71,2.75,0.24
3.212,-0.2,14.4,7.77
3.259,-16.79,8.98,-7.41
3.305,-13.38,13.38,6.75
3.351,-7.92,14.04,6.59
3.396,-6.47,6.43,1.22
3.443,-0.12,-1.14,-2.08
3.489,0.78,-3.14,-2
3.534,-0.12,0.31,1.73
3.579,-3.77,0.2,-1.61
3.625,-4.55,4,20.01
3.672,-20.01,20.01,7.26
3.718,-2.04,11.69,7.06
3.765,-16.48,16.59,3.3
3.811,-8.55,10.4,1.92
3.856,-0.16,2.16,-1.29
3.902,0.55,-3.41,-4.08
3.947,0.51,-1.41,1.69
3.993,-3.57,0.24,-0.35
4.038,-0.98,3.37,0.2
4.086,-13.02,-5.18,13.02
4.134,-20.01,10.63,11.85
4.18,-13.34,11.61,9.73
4.226,-9.1,14.59,7.02
4.272,-6.28,2.86,-1.73
4.319,-0.35,-0.55,-3.49
4.366,-0.86,-2.35,-1.22
4.412,-1.22,-0.86,2.51
4.456,-1.84,1.92,1.02
4.503,-12.16,4.51,16.63
4.551,-13.65,14.28,12.83
4.598,-11.92,13.69,5.77
4.645,-13.73,12.12,2
4.69,-5.73,8.28,1.49
4.735,0.27,0.78,-0.78
4.78,0.82,-2.94,-1.41
4.824,0,0.98,1.22
4.87,-2.67,-0.55,0.39
4.917,-15.93,4.51,10.79
4.964,-20.01,8.16,18.63
5.01,-17.14,9.38,4.71
5.057,-11.49,16.95,10.79
5.102,-8.12,8,3.3
5.148,-3.41,1.73,-2
5.194,1.22,-2,-1.8
5.241,-0.24,-1.88,-2.31
5.286,-1.22,0.9,1.45
5.33,-2.98,0,1.92
5.377,-20.01,8.12,19.38
5.424,-20.01,8.71,14.87
5.47,-8.55,11.22,7.61
5.517,-16.75,14.44,4.47
5.563,-7.57,11.26,2.16
5.607,1.61,2.24,-2
5.653,1.45,-2.47,-3.41
5.698,-1.73,0.78,0.55
5.745,-3.45,-0.31,-0.27
5.79,-4.31,0.71,2.28
5.836,-4.04,20.01,6.2
5.882,-16.71,6.59,-0.04
5.929,-10.51,12.75,4.04
5.975,-8.43,13.53,4.51
6.02,-7.14,8.75,2.31
6.066,-2.24,1.18,-2.04
6.111,0.94,0.04,-0.78
6.156,-2.75,1.88,-1.84
6.202,-1.96,-1.29,0.27
6.246,1.06,3.06,7.69
6.293,-20.01,20.01,2
6.339,-0.78,10.55,8.63
6.386,-10.55,12.98,7.49
6.432,-12.63,10.98,1.69
6.477,-5.22,7.49,1.41
6.523,-0.43,1.65,-1.57
6.569,0.35,-1.22,-2.12
6.615,-0.94,-0.82,1.26
6.661,-1.22,1.45,-0.78
6.709,-20.01,-1.41,17.26
6.756,-19.61,17.97,20.01
6.802,-13.22,7.85,3.14
6.849,-11.65,16.63,7.22
6.894,-5.88,6.47,1.611048887
6.986,0.51,-1.14,-1.88
7.032,-0.75,-0.55,-1.61
7.078,-2.51,-0.59,0.12
7.124,-4.71,2.12,-6.94
7.172,-14.24,14.47,20.01
7.221,-20.01,20.01,-20.01104921
7.495,-4,-1.26,2.161049488
7.771,-5.53,3.92,0.241049764
8.096,-6,12.55,7.65
8.143,-11.77,15.02,4.9
8.188,-8.87,9.96,1.06
8.232,1.73,2.94,-0.98
8.278,1.92,-2.75,-3.49
8.323,0.71,-0.43,1.22
8.369,-3.77,2.31,-0.63
8.415,-0.82,2.2,-0.82
8.46,3.69,15.06,4.16
8.507,-20.01,14,15.97
8.553,-13.81,8.9,6
8.599,-7.73,15.14,6.67
8.645,-6.12,4.55,-0.2
8.69,0.12,0,-3.45
8.736,0.98,-2.12,-2.39
8.781,-1.18,-0.9,2.16
8.827,-3.57,1.45,-2.39
8.873,-3.22,2.67,20.01
8.922,-20.01,20.01,-10.32
8.968,-5.37,11.34,5.06
9.015,-11.45,12.71,5.37
