NAME:,run_2_2.csv,,
EXPERIMENT TIME:,25/05/2022 16:58,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,160,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
7.218,7.49,-2.28,-1.45
7.259,6.43,-2,2.98
7.3,3.06,-3.1,9.61
7.341,-2.24,-8.71,14.36
7.382,-7.57,-16.99,20.01
7.423,-8.63,-14.36,20.01
7.464,-6.79,-6.2,12.16
7.505,-3.65,-0.27,3.02
7.546,-2.43,2.82,-2.51
7.587,-2.59,2.55,-0.75
7.628,-3.92,0.75,3.1
7.669,-6.67,-1.14,4.59
7.71,-8.43,-1.61,5.88
7.751,-6.04,-3.84,15.42
7.792,-6.39,-7.85,20.01
7.833,0.94,-5.02,16.48
7.874,4.82,-2.59,8.59
7.915,6.83,-5.02,2.35
7.956,8.43,-3.84,0.55
7.997,8.04,-2.79,1.8
8.038,3.96,-5.14,4.47
8.079,1.29,-4.94,7.37
8.12,-5.73,-13.02,18.4
8.161,-8.08,-18.67,20.01
8.202,-8.51,-9.38,14.44
8.243,-4.75,1.41,0.98
8.284,-1.1,3.18,-1.26
8.325,-1.37,3.06,-0.55
8.366,-0.98,1.49,-0.75
8.407,-5.73,-1.61,5.18
8.448,-7.77,-1.69,12.2
8.489,-7.85,-8.39,16.55
8.53,-8.55,-9.1,20.01
8.571,-1.14,-4.12,18.24
8.612,4.63,-1.77,10.94
8.653,5.84,-2.67,2
8.694,6.28,-2.55,-1.37
8.735,5.26,0,2.28
8.776,5.77,-0.67,4.24
8.817,3.8,-6.28,5.96
8.858,0.24,-11.34,15.81
8.899,-0.71,-16.24,19.26
8.94,-6.24,-17.22,20.01
8.981,-7.88,-7.3,14.51
9.022,-3.37,0.9,2.39
9.063,-4.39,1.53,-3.22
9.104,-4.59,2.2,-3.53
9.145,-3.18,1.45,-2.39
9.186,-4.31,-1.61,1.88
9.227,-5.06,-4.28,12
9.268,-1.02,-5.81,19.57
9.309,-0.67,-9.06,20.01
9.35,0.71,-7.37,18.59
9.391,5.69,-3.26,10.28
9.432,4.86,-3.57,3.41
9.473,5.96,-1.41,-3.41
9.514,4.47,-0.9,-0.63
9.555,3.26,-4.28,5.57
9.596,1.84,-5.96,10.71
9.637,0.67,-8.87,20.01
9.678,-2.28,-14.71,20.01
9.719,-7.02,-12.87,15.02
9.76,-4.63,-0.39,6.47
9.801,-5.65,-0.16,-1.06
9.842,-4.71,2.51,-3.65
9.883,-4.24,5.65,-0.67
9.924,-6.83,-0.71,-0.98
9.965,-7.3,-3.26,13.53
10.006,-2.04,-4.51,20.01
10.047,-6.83,-10.79,20.01
10.088,-1.96,-7.49,17.5
10.129,5.02,-0.08,9.85
10.17,5.88,0.59,2.63
10.211,4.39,-1.37,-0.78
10.252,3.69,-1.02,-1.26
10.293,-0.59,-5.41,-0.63
10.334,0.71,-6.43,9.73
10.375,-1.8,-11.41,17.3
10.416,-2.51,-15.61,19.3
10.457,-3.84,-13.42,16.16
10.498,-4.35,-5.02,7.37
10.539,-2.55,0.51,0
10.58,-3.77,2.35,-3.49
10.621,-4.55,2.35,-2
10.662,-4.16,-1.06,2.31
10.703,-4.75,-3.88,13.77
10.744,-2.47,-5.37,17.77
10.785,-0.78,-10.9,17.57
10.826,-2.63,-13.45,19.26
10.867,2.35,-6.04,11.22
10.909,6.2,-2.39,0.94
10.95,4.79,-2.86,-2.9
10.991,4.82,-0.9,-3.57
11.032,5.88,-0.78,-2.31
11.073,3.96,-5.49,5.77
11.114,2.98,-9.61,14
11.155,0.86,-13.42,16.08
11.196,-4.04,-16.28,16.2
11.237,-5.06,-8.63,7.96
11.278,-2.16,0.24,2.75
11.319,-1.1,2.67,2.08
