NAME:,run4,,
EXPERIMENT TIME:,24-05-22 16:53,,
Activity,Running,,
COUNT OF ACTUAL STEPS,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
8.654,0.08,-1.8,-2.51
8.7,0.08,-4.04,-0.63
8.744,-0.82,0.71,1.53
8.79,-4.12,2.51,-1.45
8.837,-8.55,10.59,20.01
8.885,-20.01,12.36,18.36
8.93,-5.57,9.53,6.32
8.977,-16.91,18.08,3.65
9.022,-4.59,8.94,2
9.067,-0.9,2.82,-3.261470623
9.436,-13.96,17.97,8.281470992
9.527,-4.28,4.94,0
9.573,-1.41,0.04,-2
9.618,1.8,-1.37,-0.75
9.664,-3.02,-1.88,0.27
9.71,-2.2,0.47,-2.16
9.755,-0.71,3.49,5.61
9.803,-13.1,20.01,-9.45
9.85,-19.14,16.24,6.12
9.897,-12.4,13.65,6.04
9.942,-8.83,12.63,1.29
9.987,-3.84,6.28,0.31
10.033,1.57,-1.65,-2.59
10.079,0.82,-2.75,-2
10.124,-2.98,1.06,0.31
10.169,-2.04,2.2,-0.78
10.216,-15.06,7.45,11.45
10.264,-16,20.01,13.96
10.31,-12.43,6.98,0.9
10.357,-11.02,17.42,4.75
10.402,-8.16,6.35,1.61
10.448,-1.41,-0.16,0.04
10.493,2,-1.92,-0.98
10.539,-1.8,-1.22,0.47
10.586,-2.16,-0.12,-0.82
10.632,-4.82,3.3,17.97
10.68,-20.01,20.01,-4.98
10.726,-7.61,12,4.86
10.773,-13.85,14.16,3.96
10.818,-9.06,10.24,0.98
10.864,-0.67,1.88,-2.08
10.91,1.96,-2.31,-2.86
10.955,-0.75,0.35,1.49
11.001,-3.61,1.61,-1.14
11.048,-11.81,-0.16,2.63
11.094,-0.51,20.01,-2.24
11.142,-13.89,11.45,-2.35
11.189,-11.1,16.32,6.04
11.236,-10.04,12.91,4.51
11.282,-6.9,7.22,-0.43
11.328,-2,1.77,-2.24
11.374,0.78,-1.26,-2.86
11.419,0,-1.18,-0.31
11.466,-1.29,-0.08,-0.35
11.512,-4.71,2.59,20.04
11.56,-20.01,13.14,10.12
11.606,-8.47,12.98,8.391473163
11.699,-8.32,10.98,2.39
11.743,-3.57,7.45,0.63
11.789,1.92,-1.33,-2.63
11.835,1.53,-2.16,-2.08
11.88,-4.08,1.49,0.67
11.927,-3.14,-0.16,-1.02
11.972,-6.28,8.75,4.24
12.019,-17.77,17.02,20.01
12.065,-16.83,8.08,4.71
12.112,-14.12,16.75,7.3
12.157,-9.53,9.92,0.55
12.203,-0.94,4.79,-2.08
12.248,1.53,0.31,-1.14
12.294,-1.06,-2.43,-1.33
12.339,-0.12,0.12,0.2
12.385,-2.79,0.35,-1.61
12.431,-4.51,4.28,18.91
12.478,-20.01,16.44,4.75
12.524,-8.63,14.32,3.53
12.57,-15.73,16.12,3.61
12.616,-8.75,12.47,2
12.662,-2.24,5.41,-2.43
12.708,0.67,-3.06,-3.65
12.753,0.78,-1.18,0.08
12.799,-2.47,2.31,-0.39
12.845,-10.83,-1.96,3.8
12.89,0,17.5,8.24
12.937,-16,9.73,-5.33
12.984,-12.79,16.75,6.39
13.03,-9.18,12.43,6.47
13.075,-6.43,6.32,0.35
