NAME: ,team10 run2,,
EXPERIMENT TIME: ,Mon May 23 14:21:04 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,130,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
19.8,2.83,19.28,5.58
19.9,1.91,6.2,-3.29
20,-0.04,-2.26,-3.9474137
20.2,-0.88,11.51,2.22
20.3,-1.53,19.08,1.53
20.4,0.27,4.55,-0.23
20.5,0.46,0.54,-2.98
20.6,11.4,15.64,11.74
20.7,3.56,19.16,2.52
20.8,-1.84,3.67,-1.72
20.9,3.29,0.92,-1.5374146
21.1,6.65,19.12,-0.3474148
21.7,-0.27,1.45,-2.4974154
22.1,-2.94,12.16,2.79
22.2,-1.84,3.06,0.04
22.3,-5.12,-0.84,3.757416
22.5,2.1,18.7,2.6474162
22.8,-3.82,10.59,4.4
22.9,-4.59,17.67,2.83
23,0.61,3.98,-1.87
23.1,0.34,2.03,-1.68
23.2,13.08,15.53,9.33
23.3,3.06,18.82,4.4
23.4,-0.08,3.48,-3.98
23.5,1.22,2.56,-2.49
23.6,-12.66,15.37,0.46
23.7,2.07,17.25,1.68
23.8,-0.92,8.64,-0.27
23.9,-0.84,1.49,-0.9274176
24.1,0.61,16.71,4.17
24.2,-2.33,2.56,-3.48
24.3,-0.31,-4.05,-1.87
24.4,16.45,19.28,-10.63
24.5,7.96,14.84,4.21
24.6,0.11,10.56,0.8
24.7,-1.49,0.19,0.92
24.8,1.45,6.12,6.04
24.9,3.33,19.51,8.03
25,2.6,11.44,-1.22
25.1,-2.29,-1.8,-3.17
25.2,6.16,9.22,-4.13
25.3,-1.61,10.14,3.02
25.4,-2.1,12.32,0.8
25.5,0.04,-0.42,0.38
25.6,1.45,1.87,-1.22
25.7,5.62,17.21,9.68
25.8,3.21,18.78,0.88
25.9,-2.56,-3.06,-2.33
26,0.5,2.22,0.19
26.1,-10.1,12.89,3.1
26.2,-3.17,15.95,4.82
26.3,-0.31,3.94,-2.29
26.4,-0.04,2.1,-1.61
26.5,10.02,19.51,9.14
