NAME:,run_2_1.csv,,
EXPERIMENT TIME:,22-05-22 20:16,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,163,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
524.967,-2.35,-2.28,-5.41
525.006,1.57,1.37,2.24
525.043,17.18,-4.98,20.01
525.082,-7.18,6.32,9.22
525.12,-20.01,20.01,0.63
525.159,6.2,4.39,18.28
525.197,4.67,3.84,15.46
525.234,3.37,2.24,11.3
525.272,-1.26,-1.18,6.28
525.388,2.86,-0.12,-1.41
525.427,2.39,-1.65,10.32
525.466,17.53,3.73,20.01
525.504,13.73,1.96,20.01
525.543,20.01,-0.63,20.01
525.582,-1.26,6.39,3.88
525.62,-2.24,3.3,2.79
525.657,2.43,-0.9,-0.75
525.696,-0.98,-2.04,-5.81
525.735,-0.98,3.37,-0.16
525.774,1.14,-5.26,0.04
525.811,2.28,-8.79,20.01
525.85,4.98,0,0
525.886,-1.45,8.94,17.02
526,2.75,-0.08,-0.59
526.039,-0.94,-0.43,5.77
526.077,1.49,-5.18,-9.18
526.116,4.35,-3.65,-1.92
526.154,-2.94,-0.04,5.18
526.193,20.01,6.86,20.01
526.231,19.1,-4.39,13.85
526.271,13.69,3.06,18.48
526.309,2.35,3.73,5.61
526.346,-2.75,4.35,5.37
526.383,-0.31,0.9,-1.49
526.422,1.65,-1.57,-5.69
526.46,1.69,-2.94,0.2
526.498,-1.92,1.57,0.47
526.654,3.41,1.26,11.3
526.692,6.16,0.86,13.73
526.729,4.55,2.08,10.04
526.767,-1.8,0.47,4.28
526.804,-2.28,-5.61,-10.36
526.845,7.45,-4.79,3.77
526.882,1.1,2.71,2.16
526.919,20.01,-3.41,20.01
526.958,0.2,13.73,12
526.997,-19.73,20.01,2.75
527.036,1.8,6.79,18.28
527.074,-0.04,6.24,5.96
527.111,-1.02,0.9,1.84
527.149,1.18,-1.33,-6.28
527.304,-17.5,-13.73,20.01
527.346,0.08,12.91,13.22
527.384,1.22,2.71,15.38
527.422,2.75,0.63,14.16
527.459,2.59,0.63,2.67
527.496,0.12,-0.16,1.41
527.533,-0.12,-5.1,-8.59
527.573,7.02,-4.79,4.98
527.61,1.29,-1.14,3.57
527.648,5.69,-4.35,8
527.685,4.51,11.96,8.16
527.723,-20.01,20.01,10.87
527.764,-1.41,7.14,18.12
527.802,-1.18,6.39,6.39
527.916,1.57,-4.12,-6.55
527.954,0.67,1.29,3.06
527.991,-2.08,5.69,4.12
528.028,-5.22,-3.22,20.01
528.068,-5.02,4.98,12.16
528.106,-1.02,10.75,15.97
528.146,3.49,-1.53,15.65
528.184,2.94,-0.51,12.04
528.223,1.88,1.37,7.14
528.259,1.14,0.16,-0.94
528.297,-0.16,-6.28,-11.45
528.337,7.45,-3.65,1.33
528.375,-0.71,3.84,3.73
528.412,20.01,7.69,20.01
528.451,15.61,-5.18,20.01
528.567,-1.49,3.02,6.9
528.604,-0.55,-0.12,-3.61
528.644,-0.9,-0.24,-6.63
528.683,3.65,-2.86,0.86
528.721,-1.33,2.24,1.22
528.758,18.87,-11.45,20.01
528.799,-20.01,20.01,-2.2
528.84,3.18,12.59,-13.42
528.879,6.71,-2.35,6.28
528.917,3.1,0.55,16.4
528.954,3.02,0.39,8.2
528.991,-6.55,-7.14,16.59
529.03,-2.12,-1.96,0.86
529.069,4.86,-3.1,-10.08
529.221,4.86,2.67,20.01
529.258,-5.22,12.98,20.01
529.298,-2.24,6.71,6.28
529.335,-4.31,5.14,1.61
529.373,1.61,0.24,-4.75
529.41,3.73,-5.41,-7.81
529.449,0.78,0.47,1.33
529.485,-3.14,5.26,4.82
529.523,20.01,-20.01,20.01
529.564,-18.55,20.01,14.67
529.604,-4.86,14.36,16.51
529.644,5.81,0.55,9.02
529.68,5.18,0.9,11.18
529.718,2.12,-1.29,8.83
529.831,2.63,-3.06,-7.02
529.87,-5.02,2.35,1.1
529.907,11.92,-10.36,20.01
529.948,8.9,9.38,-3.73
529.985,-20.01,20.01,-7.77
530.026,1.29,2.04,16.16
530.064,-5.22,4.71,5.73
530.101,-7.61,4.63,-3.92
530.14,5.3,-3.8,-4.35
530.178,3.18,-0.51,-0.82
530.217,0.27,1.57,0.04
530.253,15.97,-6.75,20.01
530.293,3.49,0.31,12.16
530.33,-0.82,6.55,-3.8
530.369,5.02,-0.39,11.26
530.483,0.04,-2.28,0.67
530.521,0.82,-3.77,-6.59
530.559,2.39,-3.77,-2.71
530.598,1.61,-0.67,6.67
530.635,20.01,3.1,20.01
