NAME:,run_4_1.csv,,
EXPERIMENT TIME:,24/05/2022 10:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,140,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.326,-0.24,0.47,9.26
1.878,0.27,0.67,9.18
3.303,-1.84,0.86,11.85
4.806,-1.49,2.12,9.81
6.374,0.14,-0.82,6.12
7.888,0.12,0.94,5.02
9.299,-1.77,-0.63,16.08
10.863,0.22,0.27,8
12.328,-0.35,1.06,3.8
13.872,0.78,-0.35,10.71
15.384,0.27,0.82,12.79
16.818,-1.88,2.08,3.26
18.374,0.75,1.92,15.53
19.912,0.02,-1.73,5.14
21.315,0.67,1.06,11.02
22.884,1.41,-0.55,4.59
24.365,0.94,-0.08,10.51
25.89,0.22,1.45,12.12
27.375,-2.35,1.96,7.18
28.916,0.33,-1.18,4.94
30.39,0.98,1.29,12.47
31.851,0.08,0.35,3.96
33.4,1.92,-0.9,14.4
34.836,1.26,-0.86,6.67
36.342,-4.47,4,8.59
37.906,0.39,0.27,12.79
39.353,0.86,-0.9,2.86
40.904,0.98,0.08,16.36
42.432,0.39,1.57,6.35
43.864,-0.51,-0.9,10.32
45.369,0.9,-2.04,6.75
46.857,-1.41,1.45,11.61
48.374,0.2,1.02,9.65
49.905,1.73,-0.9,9.41
51.443,0.08,0.86,13.22
52.881,-0.94,0.47,5.18
54.405,0.1,-1.33,5.77
55.91,0.08,0.31,10.87
57.385,-1.77,0.67,3.61
58.888,-2.16,-0.12,13.49
60.383,-1.69,0.43,9.06
61.915,0.94,-1.02,12.75
83.18,0.8,-0.82,8.51
83.184,1.37,0.59,8.63
83.187,1.18,-0.94,8.24
83.193,0.82,0.67,7.37
83.197,-2.2,0.27,8.59
83.2,-1.02,-0.55,10.51
83.204,-2.75,2.12,11.53
83.209,2.16,0.78,8.9
83.212,-1.57,1.41,8.94
83.216,-0.71,0.82,9.14
83.22,0.16,0.55,9.18
83.225,0.16,0.59,9.34
83.229,0.08,0.67,9.1
83.233,0.12,0.55,9.18
84.429,-0.08,0.55,9.18
