NAME: ,run_4_2,,
EXPERIMENT TIME: ,Mon May 23 21:02:16 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,148,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
20.5,4.32,-8.38,0.5
20.6,4.32,-8.68,0.31
20.7,4.21,-8.45,0.38
20.8,3.82,-8.64,0.76
20.9,4.02,-8.57,0.5
21,3.98,-8.57,0.38
21.1,3.86,-8.83,0.34
21.2,3.94,-8.72,0.31
21.3,3.86,-8.68,0.27
21.4,3.79,-8.76,0.31
21.5,3.86,-8.76,0.15
21.6,4.02,-8.76,0.31
21.7,3.94,-8.8,0.19
21.8,3.94,-8.64,0.04
21.9,3.94,-8.64,0
22,3.9,-8.72,0.15
22.1,4.05,-8.64,0.11
22.2,4.02,-8.8,0.08
22.3,3.9,-8.72,0
22.4,4.02,-8.8,0.08
22.5,3.75,-8.76,0.15
22.6,3.98,-8.76,0.11
22.7,3.9,-8.8,0
22.8,3.9,-8.8,0.087495
23.5,3.75,-8.8,0.04
23.6,3.9,-8.83,0.23
23.7,3.98,-8.83,0.19
23.8,3.94,-8.76,0.11
23.9,3.9,-8.91,0.08
24,3.75,-8.8,0.19
24.1,3.94,-8.76,0.04
24.2,3.82,-8.64,0.23
24.3,3.67,-8.83,0
24.4,3.86,-8.68,0
24.5,3.86,-8.76,-0.04
24.6,3.82,-8.87,-0.15
24.7,3.9,-8.87,-0.19
24.8,3.9,-8.83,-0.27
24.9,3.79,-8.99,0
25,3.82,-8.8,-0.31
25.1,3.6,-8.99,-0.27
25.2,3.71,-8.99,-0.08
25.3,3.52,-8.99,-0.38
25.4,3.52,-8.87,-0.46
25.5,3.63,-9.1,-0.34
25.6,3.6,-9.03,-0.42
25.7,3.94,-8.87,-0.46
25.8,3.6,-8.76,-0.61
25.9,3.71,-8.95,-0.46
26,3.75,-9.03,-0.42
26.1,3.56,-8.87,-0.34
26.2,3.94,-8.91,-0.08
26.3,3.79,-8.91,-0.11
26.4,3.9,-8.72,-0.11
26.5,3.82,-8.76,-0.11
26.6,4.09,-8.76,-0.04
26.7,3.94,-8.61,-0.15
26.8,4.02,-8.8,-0.08
26.9,3.86,-8.72,0
27,3.98,-8.83,-0.15
27.1,3.94,-8.83,-0.08
27.2,4.05,-8.72,-0.11
27.3,4.05,-8.8,-0.11
27.4,3.98,-8.68,0.08
27.5,3.9,-8.76,0.11
