NAME:,run_3_1.csv,,
EXPERIMENT TIME:,25-05-22 15:21,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.031,2.47,13.77,-7.81
0.033,2.75,14.2,-6.39
0.087,0.33,9.81,-4.28
0.12,0.24,4.51,-8.24
0.123,0.08,1.37,-3.57
0.155,1.14,-0.98,-1.41
0.187,2.67,-3.33,-4.08
0.223,0.85,6.83,-6.39
0.26,33,20.01,-13.1
0.293,2.71,15.69,-9.73
0.329,0.47,20.01,-9.89
0.332,1.77,16.67,-5.53
0.366,2.55,14,0.51
0.4,4.47,9.65,-0.78
0.456,0.98,3.02,-0.71
0.459,0.16,-0.24,-1.22
0.505,0.98,-2.59,-0.75
0.538,1.92,2.24,-1.45
0.58,0.96,-1.65,-9.34
0.616,1.29,17.65,-4.71
0.65,0.67,7.49,-0.08
0.685,3.88,20.01,-3.69
0.726,0.75,16.75,-1.61
0.728,1.29,19.57,-7.02
0.764,5.1,18.51,-13.3
0.799,2.63,10.47,-3.65
0.835,0.65,7.96,-12.67
0.871,0.51,1.18,-7.96
0.872,0.9,-1.61,-0.63
0.908,0.71,-2.63,-2.59
0.969,0.67,-0.75,-1.65
0.971,0.53,-1.37,-4.35
1.022,0.35,8.98,-4.31
1.058,10.94,20.01,-20.01
1.094,2.82,20.01,-6.55
1.13,0,20.01,-4.9
1.167,0.14,16.36,-3.96
1.204,0.82,11.53,-2.31
1.243,0.94,1.69,-1.96
1.247,0.96,0.04,-0.98
1.283,0.98,-1.8,-0.67
1.319,1.41,0.16,-0.63
1.356,3.8,1.14,-1.65
1.357,0.1,-1.22,-17.89
1.42,4.94,20.01,-5.96
1.422,3.92,18.79,0.16
1.474,0.26,17.06,-2.31
1.512,0.22,18.01,-6.04
1.548,1.84,13.38,-7.26
1.585,2.04,15.14,-8.79
1.622,0.69,9.22,-5.33
1.624,0.31,1.18,-8.2
1.662,0.12,-2.2,0.82
1.767,4.04,-2.24,-2.94
1.769,0.14,14.4,-11.53
1.833,0.92,20.01,-20.01
1.835,2.59,20.01,-9.89
1.898,0.9,16.32,-3.92
1.9,0.75,12.4,-3.18
1.939,4.75,4.04,-1.22
1.975,0.41,-0.75,-2
2.013,96,-2.51,0.27
2.084,0.04,0.71,-2.82
2.087,2.51,-0.24,-2.86
2.147,0.82,9.34,-3.77
2.195,6.16,18.63,-11.77
2.234,4.47,20.01,0.39
2.237,0.83,15.18,-0.71
2.275,1.88,13.61,-7.49
2.314,0.9,9.22,-5.92
2.352,0.28,4.2,-7.65
2.39,0.2,0.04,-11.3
2.393,1.84,-0.71,-2.59
2.435,2.9,-1.73,1.69
2.474,0.35,-1.84,-2.9
2.514,0.35,2.63,-9.06
2.551,0.35,20.01,-12.94
2.59,0.35,20.01,-18.59
2.592,4.2,20.01,-10.51
2.629,0,15.69,-4.86
2.667,1.57,11.06,-3.26
2.706,4.86,3.73,-0.27
2.744,0.37,1.1,-1.69
2.746,0.12,-3.02,1.8
2.786,3.18,0.82,-1.88
2.824,3.61,-0.04,-4.82
2.863,0.63,10.4,-16.28
2.903,8.2,19.69,-6
2.941,0.71,12.79,0.51
2.943,0.41,16.28,-2.28
2.982,0.94,19.02,-9.38
3.022,4.9,13.49,-5.18
3.061,2.55,13.38,-7.41
3.063,1.26,8.36,-5.18
3.133,0.75,-0.08,-9.26
3.135,0.71,-1.61,-7.3
3.137,1.41,-0.86,1.26
3.194,0.98,-0.31,-2.9
3.235,0.65,1.84,-7.45
3.273,2.82,13.81,-13.02
3.313,0.94,20.01,-20.01
3.352,4,20.01,-6.94
3.354,0.96,17.34,-4
3.392,0.04,11.77,-4.63
3.431,3.73,5.88,-1.37
3.476,0.47,1.33,0.98
3.516,0.71,-3.06,0.35
3.518,0.1,-4.08,-1.33
3.558,3.1,2.31,-0.31
3.597,2.04,2.67,-4.98
3.638,0.8,19.93,-3.53
3.678,0.06,6.94,-2.47
3.68,7.69,20.01,-2.24
3.719,0.3,17.46,-3.49
3.76,1.77,17.5,-7.45
3.8,2.2,15.61,-8.28
3.84,1.65,14.98,-7.22
3.842,0.39,6.04,-6
3.881,0.8,-1.8,-6.12
3.922,0.27,-1.37,-2.2
3.963,3.18,-2.28,0.71
3.964,0.18,-1.22,-1.22
4.004,0.26,1.14,-5.77
4.045,4.35,17.93,-15.81
4.085,0.12,20.01,-16.67
4.125,4.55,20.01,-10.83
4.127,0.24,16.48,-3.65
4.174,2.16,11.69,-2.94
4.215,3.41,5.49,-0.67
4.256,0.1,0.75,-0.35
4.258,0.31,-3.1,0.16
4.299,1.45,2.2,-4.2
4.367,2.43,0.98,-0.86
4.369,-7.53,20.01,-7.02
4.425,0.04,7.02,6.08
4.467,0.2,18.99,-3.06
4.509,0.1,20.01,-9.18
4.511,0.1,13.69,-5.02
4.552,4.12,16.04,-11.73
4.593,2.39,10.28,0.31
4.637,0.33,3.92,-8
4.678,0.16,-1.84,-6.55
4.68,0.16,-0.39,7.18
4.721,2.71,-1.92,0
4.762,0.8,-2.04,-4.28
4.764,0.92,5.61,-5.33
4.832,3.1,20.01,-16.32
4.834,13.61,20.01,-5.81
4.836,3.33,20.01,-7.85
4.894,0.2,17.46,-7.61
4.936,3.1,11.89,-1.92
4.977,3.22,1.88,1.26
5.018,0.45,-2.04,-0.04
5.06,0.69,-4.79,-0.43
5.062,0.9,0.39,-4.24
5.103,1.92,3.49,-2.79
5.145,0.73,-0.24,-11.77
5.188,9.45,20.01,-8.67
5.232,0.84,7.96,1.22
5.234,0.88,18.83,-1.69
5.277,0.04,20.01,-9.53
5.279,2.86,16.83,-7.06
5.349,4.82,16.28,-12.04
5.351,0.86,7.02,-3.49
5.353,3.37,1.41,-8.71
5.409,0.08,-1.61,-3.88
5.452,2.28,-3.1,1.92
5.494,1.84,0.51,-11.38
5.496,0.18,-1.45,-5.26
5.538,0.96,11.34,-6.86
5.58,0.22,20.01,-20.01
5.681,6.71,20.01,-9.14
5.741,1.8,2.9,-0.59
5.784,0.33,-1.18,-0.27
5.827,0.71,-2.86,-3.41
5.829,3.96,2.35,-2.59
5.871,0.16,1.37,-6.39
5.914,0.84,9.92,-8.87
5.957,0.39,17.93,-12.36
5.959,11.69,20.01,-0.55
6.001,0.55,19.02,-5.26
6.044,0.12,14.16,-6.75
6.047,1.8,16.2,-15.06
6.089,1.1,8.79,-4.28
6.132,0.28,5.92,-10.04
6.176,0.18,-0.04,-5.3
6.179,0.61,-0.51,0.24
6.222,3.3,-2.94,-1.73
6.265,0.88,-0.71,-1.84
6.267,0.94,1.33,-10.71
6.31,0.12,20.01,-20.01
6.353,51,19.81,-14
6.396,4.79,19.02,-9.85
6.398,0.51,17.69,-5.73
6.442,0.59,9.38,-1.57
6.486,4.04,3.3,-0.16
6.529,0.3,-1.14,-0.67
6.53,0.28,-5.14,0.08
6.574,0.24,0.12,-2.75
6.618,1.77,5.22,-3.8
6.661,0.47,2.24,-18.48
6.663,4.16,14,-11.61
6.708,4.98,15.34,3.45
6.71,0.1,19.02,-1.77
6.782,0.12,20.01,-7.85
6.785,0.98,14.95,-8.39
6.786,2.71,14.75,-8.87
6.841,1.33,7.65,-3.65
6.886,0.88,0.27,-7.81
6.958,0.18,-0.94,-2
6.961,12.16,-4.71,4.35
7.008,0.34,1.65,-10.71
7.052,0.84,19.97,-9.18
7.096,0.61,20.01,-14.98
7.14,7.1,20.01,-11.02
7.142,0.86,15.18,-6.39
7.187,0.35,9.1,-3.57
7.232,3.45,4.04,2.04
7.276,0.1,-0.55,-0.71
7.278,0.3,-4.39,0.94
7.322,0.06,-3.41,-2.04
7.374,0.12,5.57,-7.1
7.376,0.88,15.22,-14.36
7.421,6.04,10.2,-7.18
7.467,0.75,11.57,0
7.469,0.59,18.44,-6.94
7.513,0.06,18.91,-5.22
7.515,0.63,14.04,-7.45
7.559,3.96,15.65,-12.43
7.604,3.02,7.81,-4.86
7.648,0.1,2.94,-6.51
7.651,0.06,-1.84,-3.1
7.696,0.71,-0.55,-3.18
7.744,0.82,-1.26,0.82
7.746,0.36,0.55,-8.67
7.79,0.82,20.01,-16.08
7.836,0.57,16.08,-16.32
7.88,3.84,20.01,-11.61
7.882,1.69,15.69,-4
7.929,0.47,12.4,-6.86
7.973,1.69,5.1,-0.39
