NAME:,run_4_1.csv,,
EXPERIMENT TIME:,24/05/2022 15:57,,
ACTIVITY TYPE:,Running,,
Count of actual steps:,156,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
939.68,0.9,5.3,7.14
939.73,6.83,5.18,7.92
939.78,8.75,8.94,12.55
939.83,11.3,9.22,11.89
939.88,7.3,3.61,6.32
939.93,3.1,1.26,3.73
939.98,3.84,0.24,3.06
940.04,5.81,-1.65,2.55
940.09,11.53,2.47,6.55
940.14,16.48,4.31,7.81
940.19,17.02,9.14,11.18
940.24,13.02,11.22,12.2
940.29,6.35,7.81,6.71
940.34,1.49,4.67,5.57
940.39,-0.43,3.33,3.1
940.44,-2.2,4.35,3.96
940.49,1.96,6.39,8.47
940.55,7.22,9.73,14.08
940.6,10.12,10.16,15.22
940.65,7.69,6.2,10.94
940.7,2.98,2.63,6.94
940.75,3.3,-0.67,4.35
940.8,3.73,-2.47,3.02
940.85,3.73,-1.73,5.65
940.9,14.2,2.04,7.26
940.95,16.48,8.36,11.1
941.01,12.32,12.87,11.61
941.06,5.3,7.81,6.79
941.11,2.43,4.2,5.22
941.16,1.41,4.67,3.26
941.21,-1.41,7.02,3.8
941.26,3.3,6.94,6.83
941.31,10.79,7.22,10.59
941.36,18.16,10.16,17.34
941.41,19.77,4.51,10.04
941.46,7.22,4.63,4.71
941.52,4.24,1.88,3.61
941.57,3.92,-1.45,3.1
941.62,3.02,-3.06,1.77
941.67,4.59,0.94,1.88
941.72,11.3,5.92,6.75
941.77,17.3,7.65,8.9
941.82,12.16,7.53,9.26
941.87,3.26,6.55,6.79
941.92,1.06,3.61,7.1
941.97,0.86,7.14,6.59
942.03,4.67,8.9,6.43
942.08,12.24,6.98,8.16
942.13,13.18,9.57,13.65
942.18,18.63,7.02,10.98
942.23,12.63,2.79,8.9
942.28,5.49,-1.41,5.33
942.33,2.86,-2.67,3.53
942.38,2.55,-4.04,2.82
942.43,5.92,-2.08,5.57
942.48,12.63,-2.04,6.55
942.53,12.51,8.63,9.65
942.59,12.98,8.75,13.3
942.64,6.12,3.26,7.53
942.69,0.59,5.14,6.43
942.74,2.12,7.22,5.84
942.79,3.18,8.32,6.43
942.84,5.49,7.92,8.2
942.89,9.89,11.96,12.94
942.94,12.94,8.98,13.26
942.99,10.98,4.35,9.38
943.04,5.26,0.16,4.75
943.1,4.2,-1.96,3.88
943.15,4.63,-4.75,3.57
943.2,6.24,-3.18,4.24
943.25,11.45,1.92,6.71
943.3,14.75,6.04,9.77
943.35,13.69,8.36,12.12
943.4,7.77,4.59,9.38
943.45,1.53,4.28,7.18
943.5,-0.08,4.67,5.53
943.55,2.59,5.65,9.14
943.61,6.12,4.39,10.79
943.66,6.83,4.24,7.49
943.71,10.08,12.67,12.4
943.76,12.75,7.61,10.67
943.81,8.04,2.71,6.28
943.86,5.22,-0.24,3.69
943.91,3.84,-1.77,3.3
943.96,4.24,-2.75,3.33
944.01,7.65,-0.04,5.92
944.07,13.89,1.41,7.73
944.12,13.65,5.45,10.75
944.17,10.75,6.24,10.59
944.22,7.49,5.26,7.26
944.27,5.77,4.75,7.22
944.32,4.2,7.02,7.61
944.37,1.29,7.34,7.65
944.42,6.79,6.16,8.51
944.47,11.89,4.98,10.98
944.52,17.46,6.08,13.42
944.58,19.14,3.26,11.85
944.63,8.94,-0.12,6
944.68,3.88,-0.71,4.59
944.73,3.77,-2.82,3.14
944.78,4.04,-3.45,3.92
944.83,7.22,-2.79,5.26
944.88,10.55,1.18,6.35
944.93,11.92,10.4,14.04
944.98,14.91,6.32,10.43
945.03,4.24,5.22,7.77
945.09,0.51,5.33,6.55
945.14,2.51,6.55,4.9
945.19,1.1,7.69,6.2
945.24,4.35,9.49,7.26
945.29,9.26,15.49,12.55
945.34,15.1,10.67,10.55
945.39,9.18,4.55,6.79
945.44,4.9,1.02,5.22
945.49,4.79,-1.84,3.3
945.54,4.35,-2.79,2.24
945.59,5.69,-1.61,4.51
945.65,11.02,0.9,7.02
945.7,13.61,8.12,9.69
945.75,13.85,10.9,13.3
945.8,9.1,5.84,8.63
945.85,1.65,4.39,5.3
945.9,1.37,4,4.98
945.95,1.33,5.22,4.98
946,2.59,7.81,5.88
946.05,5.53,8.83,7.06
946.1,10.16,14.4,14.24
