NAME:,run2,,
EXPERIMENT TIME:,24-05-22 16:40,,
Activity,Running,,
COUNT OF ACTUAL STEPS,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
8.773,-3.3,-0.2,-1.22
8.819,-10.83,3.77,20.01
8.864,-20.01,20.01,2
8.909,-4.94,11.81,6.9
8.955,-16.36,16.12,4.35
8.999,-9.57,9.45,0.2
9.043,-3.26,5.73,0.24
9.087,0.59,-0.82,-1.57
9.132,-0.71,-0.16,0.39
9.176,-2.16,1.53,0.39
9.221,-9.89,-0.2,2.82
9.266,-4.12,20.01,0.67
9.311,-13.69,6.86,-1.53
9.357,-13.45,15.34,6.24
9.402,-9.45,12,4.94
9.446,-5.06,7.06,1.02
9.491,-2.55,4.12,-1.45
9.534,0.39,1.1,-0.16
9.58,-2.31,-2.08,-0.86
9.625,-1.88,-0.43,0.43
9.671,-15.22,12.71,4.04
9.717,-7.34,11.81,10.47
9.762,-14.28,17.02,6.63
9.808,-12.59,12.2,2.28
9.852,-6.51,7.81,1.1
9.897,-0.55,3.96,-0.43
9.943,-0.51,-1.18,-2.2
9.986,-1.33,0.27,2.08
10.031,-2.35,2.28,-0.71
10.077,-19.26,0.43,15.85
10.123,-11.96,19.85,5.92
10.169,-13.89,12.28,2.16
10.214,-11.53,17.1,7.02
10.258,-8.32,8.16,1.61
10.302,-4.9,8.28,0.98
10.347,-1.29,1.57,-2.43
10.391,0.27,-0.75,1.18
10.436,-4.12,-2.79,-1.88
10.482,-3.26,-0.59,-0.9
10.527,-5.61,3.88,20.01
10.574,-20.01,17.22,15.02
10.619,-7.85,12,7.34
10.664,-14.44,13.49,2.63
10.708,-5.02,9.26,1.18
10.752,2.51,1.84,-2.9
10.798,-2.16,-2.2,-1.77
10.842,-2.2,0.86,1.29
10.886,-0.35,2.24,-0.63
10.932,-20.01,3.96,19.06
10.979,-20.01,20.01,19.97
11.024,-14.4,7.57,2.35
11.069,-8.36,13.81,4.79
11.112,-5.37,5.49,0.04
11.157,-0.63,1.1,-2.31
11.202,0.16,-1.92,-0.94
11.247,-0.55,-0.59,1.18
11.291,-3.61,2.16,0.59
11.336,-14.32,6.35,20.01
11.383,-19.57,15.85,15.3
11.429,-9.73,13.93,10.43
11.475,-15.61,14.4,3.8
11.519,-6.67,7.65,0.47
11.562,1.96,1.57,-0.86
11.608,-0.94,-2.98,-3.96
11.652,-1.73,1.8,2.16
11.697,-3.57,0.55,-0.82
11.743,-11.18,1.77,11.3
11.789,-16,17.93,14.79
11.835,-16.4,13.96,6.32
11.881,-10.67,13.14,7.34
11.925,-7.53,8.24,1.53
11.969,-4.39,5.96,0.2
12.013,1.53,-0.59,-1.18
12.059,-1.29,-1.37,-0.63
12.104,-2.35,0.59,-1.18
12.148,-2.43,0.63,2.79
12.194,-13.81,6.32,15.53
12.239,-10.87,14.63,7.85
12.285,-13.02,15.57,9.1
12.331,-11.1,13.22,3.88
12.375,-4.16,6.75,1.69
12.419,0.98,1.77,-2.39
12.464,-3.73,-2.28,-5.65
12.509,-2.47,1.88,-0.51
12.554,-2.9,0.78,-1.14
12.599,-11.85,2.04,9.89
12.646,-19.5,10.79,17.65
12.692,-17.14,16.36,7.65
12.737,-10.98,12.79,7.81
12.781,-6.71,6.67,1.14
12.826,-4,4.98,-1.18
12.87,0.43,0.04,-1.8
12.914,-0.31,-0.94,0.47
12.96,-3.3,-0.9,-1.57
13.004,-3.26,1.18,8.98
13.051,-6.79,19.93,-17.93
13.098,-12.43,13.34,12.16
13.144,-12.36,13.45,6.51
13.188,-9.73,11.61,3.61
13.232,-3.61,6.71,0.16
13.276,1.1,0.27,-2.31
13.322,-2.31,-0.82,-2.39
13.366,-3.57,0.82,0.63
13.409,-8,3.69,3.96
13.455,-14.75,7.06,17.81
13.501,-15.42,14.08,3.8
13.547,-11.57,16.16,6.2
13.592,-7.49,11.38,3.49701604
14.044,-8.43,10.4,2.86
14.088,-4.08,4.86,-0.51
14.134,-0.9,-1.06,-3.69
14.179,-2.12,0.47,-1.14
14.224,-0.94,1.41,-0.16
14.269,-1.29,0.16,-1.14
14.312,-7.61,8.43,9.26
14.359,-20.01,20.01,14.83
14.405,-14,12.87,4.94
14.451,-10.28,15.49,8.12
14.495,-7.92,4.9,0.51
14.539,-3.41,5.92,-0.71
14.583,2.39,1.22,-0.63
14.628,0.04,-1.22,-0.12
14.674,-2.75,-1.73,-0.78
14.718,-2.98,2.51,5.73
14.764,-17.61,20.01,-8.79
14.809,-5.84,12.4,4.98
14.855,-14.71,17.46,6.98
14.901,-12.28,12.04,3.3
14.945,-4.35,7.61,1.61
14.989,-0.63,3.1,-0.9
15.035,-3.06,-0.04,-2.55
15.079,-1.06,1.61,0.51
15.125,-2.71,-0.31,-0.9
15.17,-11.69,2.31,6.59
15.217,-13.3,13.73,12.91
15.262,-15.46,12.55,4.16
15.308,-10.43,16.32,8
15.352,-9.57,8.83,2.94
15.396,-6.75,8.83,1.8
15.441,-1.06,2,-0.94
15.485,1.1,-0.63,-2
15.531,-1.73,-1.14,-0.39
15.577,-2.51,-0.98,-0.51
15.622,-2.55,5.22,20.01
15.668,-20.01,15.93,2.71
15.712,-8,12.55,7.14
15.758,-16.99,18.04,6.16
15.804,-11.02,11.06,2.94
15.848,-4.63,7.34,2.59
15.893,1.88,-0.75,-2.12
15.938,-2.2,-2.08,-1.49
15.982,-1.8,3.49,0.27
16.027,-0.82,0.31,-1.88
16.073,-19.1,-4.9,5.88
16.117,1.22,19.57,0.94
16.163,-14.79,13.42,-2.08
16.209,-12.83,12.51,5.88
16.253,-9.26,9.1,3.3
16.297,-6.43,3.1,0.27
16.341,1.45,0.63,-1.57
16.384,0.2,-0.71,0.08
16.429,-0.78,-0.67,0.55
16.474,-6.79,2.82,14.12
16.52,-20.01,4.86,10.67
16.564,-7.3,15.02,9.92
16.61,-17.3,20.01,7.06
16.654,-9.45,8.83,1.22
16.698,-3.41,4.98,0.31
16.742,1.53,0.27,-3.26
16.787,-1.22,-1.33,-0.35
16.832,-3.53,2.9,-1.14
16.877,-1.53,0.27,-2.12
16.924,-16.91,-3.49,-6.59
16.971,-15.85,19.57,19.61
17.017,-15.46,11.53,7.14
17.062,-11.61,13.65,7.06
17.106,-6.86,6.28,1.18
17.151,-1.88,4.98,-0.55
17.196,0.24,-0.9,-1.29
17.242,-0.35,-0.39,-0.2
17.287,-2.24,-1.45,-0.55
17.332,-3.1,1.45,-2
17.377,-11.06,6.98,3.41
17.424,-13.93,18.79,16.59
17.47,-14.16,13.85,7.49
17.516,-11.26,12.94,4.31
17.559,-4.24,6.55,1.06
17.603,0.31,1.92,-2.04
17.649,-1.77,-2.94,-3.73
17.694,-2.79,0.47,-0.31
17.738,-0.39,2.12,-0.55
17.784,-16.71,1.84,15.26
17.829,-9.22,20.01,9.96
17.874,-14.98,8.9,2.39
17.92,-14.79,18.59,6.98
17.963,-8.83,9.89,2.08
18.007,-3.8,5.45,0.2
18.052,-0.82,1.06,-1.26
18.098,-0.35,-1.14,-1.14
18.144,-1.29,-0.98,-0.2
18.189,-3.37,-0.16,-0.47
18.234,-9.18,1.29,20.01
18.281,-13.96,10.47,16.28
18.328,-10.36,16.2,12.32
18.374,-13.65,11.73,3.8
18.42,-10.36,10.67,2.12
18.464,-0.82,2.59,-1.45
18.509,1.06,-1.84,-2.67
18.552,0.86,0.24,0.71
18.596,-2.2,0.27,0
18.641,-5.49,-0.35,0.12
18.684,0.04,16.32,3.1
18.729,-20.01,6.98,6.59
18.775,-16.36,16.12,5.37
18.821,-11.3,15.97,6.35
18.864,-7.22,7.34,2.08
18.909,-0.16,2.35,-1.49
18.954,1.33,-1.14,-1.77
18.999,-2.63,0.35,-0.39
19.045,-0.9,-1.41,-0.2
19.087,0.16,3.02,5.107071
19.224,-12.2,13.85,8.43707239
19.492,-2,0.31,-1.53707506
19.582,-0.39,11.3,7.88
19.629,-20.01,15.02,11.77
19.675,-14.47,17.5,7.1
19.72,-10.67,8.43,1.69
19.763,-5.37,4.67,0.39
19.807,2.08,1.92,-2.35
19.852,0.51,-0.82,-0.47
19.897,-1.73,-0.51,0.16
19.943,-2.51,-0.24,-0.35
19.987,-4.71,2.98,20.01
20.034,-20.01,10.04,14.08
20.079,-9.57,15.3,9.22
20.125,-17.77,17.69,3.3
20.17,-9.92,11.49,2.04
20.213,-4,7.18,1.69
20.258,0.86,-1.57,-3.92
20.304,-2.9,-0.63,-0.78
20.348,-1.73,1.02,0.63
20.394,-0.08,-1.45,-0.94
20.441,-20.01,-6.28,17.85
20.485,-9.06,20.01,9.96
20.53,-16.95,9.3,0
20.576,-13.18,19.89,9.89
20.62,-9.77,9.49,2.82
20.664,-1.92,5.73,-0.12
20.709,2.98,-2.2,-1.84
20.755,-1.84,-2.67,-1.49
20.8,-0.12,-0.94,2.75
20.844,-2.51,3.22,7.61
20.892,-18.67,20.01,-20.01
20.936,-5.06,12.91,8.36
20.982,-14.24,15.77,8.67
21.028,-11.89,12.75,2.94
21.072,-5.22,6.59,0.82
21.117,1.96,-0.67,-2.39
21.161,0.24,-3.37,-2.31
21.205,-0.71,3.88,1.22
21.251,-2.67,-1.57,-1.18
21.297,-12.55,-3.22,1.53
21.343,-9.26,20.01,12.16
21.389,-14.59,14.55,-1.61
21.435,-15.26,18.2,6.79
21.48,-9.81,11.38,4.2
21.524,-6.08,5.26,1.65
21.569,1.14,-0.27,-0.47
21.613,1.8,-2.12,-1.14
21.659,-2.04,-1.29,-2
21.704,-1.96,0.78,-0.9
21.749,-9.3,2.43,20.01
21.796,-20.01,16.63,13.96
21.841,-8.04,11.85,8
21.886,-18.28,16.71,2.59
21.931,-9.38,13.26,3.26
21.976,-0.94,2.9,-0.71
22.022,-0.12,-3.8,-2.79
22.067,-0.47,-0.35,0.9
