NAME:,run_4_1.csv,,
EXPERIMENT TIME:,25-05-22 18:21,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,164,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
7.437,1.41,-5.18,19.93
7.439,-2.31,2.55,15.85
7.44,-3.18,3.37,4.67
7.442,2.86,-0.75,1.14
7.447,-1.61,0.08,2.98
7.452,-1.87,13.73,2.82
7.461,-2.35,1.92,0.04
7.49,-2.63,-1.18,2.82
7.524,-6.16,-1.18,2.79
7.557,0.9,-5.14,20.01
7.589,-0.63,-6.24,20.01
7.626,5.96,-4.39,20.01
7.657,-3.3,1.33,18.28
7.69,0.71,-2.71,9.85
7.723,0.43,0.31,4.75
7.756,0.75,1.45,-2.94
7.81,0.59,-2.75,-5.26
7.834,-5.49,-0.27,2.94
7.849,2,-1.61,8.67
7.877,-19.93,-18.12,12.91
7.911,-8.36,16.59,20.01
7.942,-2.86,0,10.2
7.98,-0.63,-10.28,16.36
8,6.67,-3.84,20.01
8.048,-5.81,6.79,15.38
8.066,-2.31,0.35,4.9
8.112,1.02,-2.43,2.28
8.134,-4.86,-0.12,0.55
8.176,1.37,-1.02,-2
8.2,-4.59,-1.92,2.51
8.216,-9.77,-5.88,9.61
8.25,2.16,-4.16,20.01
8.282,-1.8,-1.77,19.65
8.322,0.43,-1.41,20.01
8.351,-3.3,-1.37,17.81
8.381,0.08,-5.41,10.32
8.413,-0.12,1.77,3.96
8.446,1.02,2.39,-2.12
8.519,0.47,-2.35,-3.53
8.554,-1.37,-0.2,-2.51
8.586,1.1,-3.45,10
8.612,-12.94,-10.87,20.01
8.653,-17.97,17.26,20.01
8.68,-0.63,-3.02,9.1
8.697,-0.2,-10.63,16
8.699,5.69,-3.96,18.04
8.729,-8.43,6.43,13.61
8.764,1.84,0.16,5.3
8.797,-1.73,-0.67,2.98
8.829,-2.98,0.39,0.75
8.862,0,-1.49,-0.24
8.894,-3.02,-2.04,2.79
8.927,-8.79,-1.96,4.94
8.962,-6.59,-1.45,15.65
8.994,-8.59,-3.02,20.01
9.028,6.47,-4.63,20.01
9.059,0.78,-1.61,20.01
9.087,-0.55,-2.04,10.59
9.123,-2.98,2.35,3.06
9.154,-2.16,3.77,-0.24
9.187,-0.78,-5.84,-2.86
9.22,0.78,-2.67,-0.9
9.252,-3.92,-1.18,6.28
9.285,-4.04,-8.24,11.73
9.318,2,2.75,20.01
9.354,5.81,0.39,-1.57
9.386,8.67,-14.63,20.01
9.418,0.59,-4.98,17.3
9.451,-7.34,3.61,20.01
9.484,-1.96,5.22,9.69
9.517,-1.57,-0.31,4.67
9.546,-2.98,2.2,3.92
9.559,-2.24,0.82,-1.88
9.599,-1.37,-1.84,2.67
9.642,-0.12,-1.84,0.63
9.673,-15.89,-1.22,9.45
9.706,-2.71,-5.02,20.01
9.743,-2.98,-4.63,20.01
9.776,2.86,-3.96,15.69
9.808,-1.49,-2.16,19.26
9.829,0.98,-5.3,8.32
9.871,-0.24,1.06,2.12
9.895,-0.12,2.63,-2.12
9.917,1.61,-3.1,-2.39
9.948,-2.43,-1.1,-0.08
9.995,0,-0.94,7.96
10.028,-10.12,-11.02,16.44
10.041,-19.69,18.95,20.01
10.075,0.67,-4.94,13.85
10.111,-1.33,-10.4,16
10.146,5.26,-3.61,15.81
10.175,-4.75,6.04,14.55
10.206,-2.59,5.3,5.88
10.24,-1.84,-3.84,4.75
10.272,-2.94,-0.12,3.77
10.308,-1.73,0.78,-0.59
10.384,-2.04,-2.31,0.9
10.412,-12.67,1.96,4.47
10.451,-10.94,-5.22,20.01
10.517,-1.53,2.35,17.38
10.55,-1.37,2.16,17.77
10.584,2.71,-7.49,11.89
