NAME:,run_3_1.csv,,
EXPERIMENT TIME:,25-05-22 15:22,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
5.99,0.39,-0.94,-3.92
5.992,1.53,-3.77,-0.12
6.046,1.41,-3.06,-0.94
6.048,0.88,4.86,-5.37
6.101,1.14,20.01,-14.2
6.103,0.69,19.85,-13.93
6.157,0.71,20.01,-12.59
6.158,0.12,18.2,-5.69
6.212,0.65,14.95,-2.16
6.266,3.49,6.2,-2.98
6.268,1.26,-0.55,-0.63
6.322,0.51,-2.28,-1.29
6.377,0.26,-1.96,-1.22
6.378,1.53,2.79,-2.86
6.434,0.37,-2.86,-7.61
6.436,0.82,19.97,-5.37
6.492,0.28,5.88,4.82
6.493,0.67,20.01,-11.61
6.548,0.92,15.1,-2.67
6.604,0.43,17.85,-8.39
6.606,1.02,12.67,-8.39
6.662,0.79,8,-2.28
6.717,0.24,1.14,-5.14
6.718,1.1,-1.49,-0.98
6.773,4.35,-2.75,-1.22
6.775,0.2,-2.86,-2.86
6.831,0.24,4.75,-4.55
6.836,0.63,18.95,-13.3
6.891,0.14,20.01,-20.01
6.946,0.43,20.01,-11.57
6.948,0.82,16.28,-5.41
7.003,1.77,13.81,-0.51
7.005,4.2,6.04,-0.35
7.061,1.57,-1.73,0.75
7.062,0.12,-3.06,-0.24
7.118,0.37,-1.96,-2.94
7.119,0.12,2.28,-1.45
7.176,0.41,4.82,-20.01
7.177,4.35,18.83,-5.26
7.233,82,7.65,2.9
7.29,4.55,20.01,-13.34
7.292,0.55,17.02,-4.24
7.347,0.06,15.18,-6
7.349,2.47,18.12,-11.61
7.405,90,12.28,-4.08
7.461,0.39,6.86,-6.98
7.463,0.49,-0.78,-7.57
7.465,0.71,-1.8,-3.41
7.52,3.1,-3.57,2.31
7.576,0.98,-2.12,-4.31
7.578,0,4.55,-4.43
7.633,2.71,20.01,-15.1
7.635,3.65,20.01,-10.2
7.695,0.16,20.01,-11.92
7.754,0.51,17.14,-6.16
7.756,0.75,14,-1.06
7.813,6.32,3.8,0.16
7.815,0.08,-1.26,-0.12
7.871,0.53,-1.96,0.35
7.927,0.27,-0.71,-1.06
7.929,0.41,2.82,-0.75
7.931,0.32,-3.02,-9.73
7.988,0.24,20.01,-2.86
7.99,0.32,3.88,3.84
8.047,1.73,20.01,-13.45
8.049,0.79,15.42,-1.77
8.106,0.2,17.97,-9.89
8.108,0.35,15.18,-9.1
8.164,1.8,13.49,-6.32
8.226,0.39,8.59,-6.79
8.228,0.43,-1.45,-5.18
8.285,1.88,-3.22,-4.79
8.286,3.45,-2.82,1.26
8.344,0.08,-1.88,-2.51
8.346,0.02,1.18,-6.55
8.404,0.18,13.65,-13.49
8.461,0.65,20.01,-16.2
8.463,0.33,20.01,-10.12
8.464,0.12,19.97,-7.65
8.522,0.04,15.42,-3.22
8.579,2.94,9.85,-1.22
8.581,5.1,1.33,-1.45
8.639,0.2,-2.63,0.27
8.641,0.96,-2.51,-1.88
8.698,0.35,1.45,-2.55
8.7,0.37,-0.51,-7.3
8.759,0.51,18.16,-1.37
8.761,4.51,10.51,-7.45
8.818,1.45,20.01,-2.71
8.82,0.86,14.87,-1.22
8.879,2.28,18.87,-7.37
8.937,1.92,13.85,-7.57
8.939,0.04,15.26,-8.47
8.998,0,9.06,-3.1
9,1.57,0.75,-7.37
9.058,0.59,-1.29,-6.59
9.117,1.77,-1.45,-3.1
9.119,0.08,-1.29,-0.78
9.12,0.26,0.08,-6.35
