NAME: ,run_1_2,,
17,-1.3,-0.5,0.313609
17.2,3.37,-7.76,5.743611
17.7,-2.49,-4.05,5.62
17.8,0.19,-1.19,0.27
17.9,19.51,-12.2,7.84
18,3.86,-5.43,1.99
18.1,2.22,2.6,-0.84362
19.1,3.4,-13.5,7.96
19.2,8.22,-13.81,6.92
19.3,-2.91,-5.2,5.32
19.4,-0.54,-1.03,2.26
19.5,18.05,-9.48,7.15
19.6,5.51,-11.13,3.44
19.7,-1.07,3.25,0.54
19.8,2.45,-13.85,11.44
19.9,6.31,-17.48,-3.33
20,4.63,-17.63,5.93
20.1,-2.26,-4.93,4.28
20.2,2.45,-5.43,-2.29
20.3,12.01,-14.61,3.79
20.4,7.3,-0.65,2.56
20.5,0.42,3.67,-1.57
20.6,-0.8,-6.88,0.99
20.7,2.91,-12.62,-11.13
20.8,7.88,-15.87,5.51
20.9,-3.17,-5.78,3.9
21,0.34,-0.42,-1.03
21.1,19.47,-13.35,5.24
21.2,6.12,-7.5,3.02
21.3,0.73,3.63,-0.34
21.4,-3.9,-3.37,4.55
21.5,-1.42,-5.16,-5.78
21.6,4.36,-19.51,5.78
21.7,-2.64,-7.11,4.67
21.8,0.73,-0.88,0.84
21.9,14.27,-17.55,5.09
22,4.63,-13.54,8.15
22.1,1.57,4.67,-0.46
22.2,-2.07,-8.34,10.4
22.3,4.05,-3.82,-11.82
22.4,0.69,-19.51,4.7
22.5,0.11,-8.57,6.85
22.6,-0.76,-2.07,-0.27
22.7,6.31,-16.1,1.57
22.8,2.68,-17.13,6.77
22.9,1.53,3.14,1.49
23,2.07,-7.3,3.48
23.1,4.36,-19.51,-11.44
23.2,5.09,-19.51,0.34
23.3,-0.5,-11.4,4.82
23.4,2.26,-0.92,0.8
23.5,6.16,-18.93,-1.07
23.6,0.8,-19.51,3.79
23.7,3.9,4.74,2.52
23.8,3.44,-2.72,0.19
23.9,12.77,-19.51,10.86
24,15.22,-17.78,-1.87
24.1,5.39,-11.13,4.36
24.2,-0.76,-1.99,0.733681
24.8,13.5,-15.41,-0.15
24.9,4.63,-12.66,3.33
25,-1.95,-4.55,1.76
25.1,2.37,-7.08,-4.7
25.2,10.17,-14.38,0.8
25.3,5.66,-2.49,1.72
25.4,0.5,1.49,-1.38
25.5,2.41,0.65,-1.61
25.6,2.64,-13.23,3.21
25.7,3.06,-13.62,2.91
25.8,-1.3,-3.33,2.79
25.9,3.82,-8.11,-0.96
26,5.32,-19.05,-0.76
26.1,5.89,-0.65,-0.19
26.2,1.15,3.4,-2.22
26.3,8.57,-5.81,-11.82
26.4,12.39,-13.39,4.25
26.5,3.29,-12.7,3.79
26.6,-1.03,-3.82,4.36
26.7,3.48,-7.65,-2.6
26.8,7.57,-13.42,1.42
26.9,4.86,-1.53,2.18
27,1.45,-0.92,-1.26
27.1,1.68,2.83,-12.66
27.2,-6.08,-7.69,0.65
27.3,6.96,-12.7,3.37
27.4,0.04,-5.62,4.82
27.5,0.54,-0.73,0.8
27.6,17.02,-18.51,6.62
27.7,4.97,-11.63,5.16
27.8,0.65,4.74,0.34
27.9,-1.07,-10.17,9.98
28,1.84,-8.91,-10.94
28.1,3.21,-19.51,5.51
28.2,-1.03,-10.67,5.01
28.3,0.54,-1.87,-0.65
28.4,10.79,-13.96,3.56
28.5,1.61,-19.05,5.97
28.6,2.98,1.95,2.41
28.7,1.95,-6.43,2.56
28.8,10.25,-18.24,9.03
28.9,13.85,-17.02,0.65
29,4.7,-13.31,4.86
29.1,-0.96,-2.72,1.22
29.2,6.23,-11.63,-1.61
29.3,5.74,-19.51,1.07
29.4,4.78,2.22,1.87
29.5,-0.19,-3.17,-2.87
29.6,16.22,-10.75,4.023735
29.8,4.7,-9.14,4.863737
30.1,3.06,-19.39,2.03
30.2,5.12,0,1.53
30.3,0.84,-1.19,-4.09
30.4,17.98,-5.58,2.29
30.5,9.64,-15.45,-2.6
30.6,2.26,-8.91,2.56
30.7,0.76,-0.88,3.71
30.8,8.15,-19.35,-1.11
30.9,5.09,-19.51,-0.8
31,4.47,7.08,-2.18
31.1,1.49,-2.94,-1.8
31.2,19.51,-14.69,9.91
31.3,17.59,-18.28,0.27
31.4,4.55,-11.09,6.46
31.5,0,-0.84,1.42
31.6,5.32,-10.63,-1.11
31.7,5.47,-14.5,1.42
31.8,4.74,1.91,1.22
31.9,2.22,-1.87,-3.52
32,14.3,-18.51,-6.23
32.1,13.62,-19.51,0.31
32.2,4.09,-11.36,3.02
32.3,-0.84,-3.37,2.56
32.4,0.73,-1.64,-1.84
32.5,6.88,-10.02,2.33
32.6,7.57,-2.6,0.61
32.7,0.65,1.19,-2.29
32.8,2.6,0.99,-11.59
32.9,10.02,-9.75,5.74
33,5.35,-12.09,5.01
33.1,-0.99,-2.72,0.96
33.2,0.57,-1.49,0.31
33.3,19.16,-7.19,7.84
33.4,5.97,-9.94,3.29
33.5,-0.08,3.48,-1.03
33.6,-2.91,-1.8,11.09
33.7,-2.49,-7.27,-4.7
33.8,4.47,-19.51,5.24
33.9,-0.76,-3.56,4.09
34,-0.73,-0.76,-2.72
34.1,19.51,-10.48,6.12
34.2,6.5,-10.14,3.21
34.3,0.69,3.79,0.57
34.4,-2.41,-6.96,9.06
34.5,-4.9,-3.29,-6.5
34.6,6,-14.84,3.17
34.7,-2.72,-6.77,5.74
34.8,1.34,-0.61,-1.07
34.9,14.07,-19.51,6.16
35,0.69,-19.51,5.93
35.1,2.22,7.53,2.60379
35.4,5.51,-16.94,-4.053793
35.8,-3.9,-19.51,-0.65
35.9,3.71,5.2,2.68
36,2.45,-4.17,0.34
36.1,18.05,-16.29,4.05
36.2,13.81,-14.19,-0.8
36.3,4.28,-12.7,5.78
36.4,-1.57,-3.21,2.79
36.5,2.18,-6.43,-2.45
36.6,6.43,-14.95,2.45
36.7,5.55,-0.04,0.61
36.8,0.04,0.08,-3.06
36.9,12.39,-7.84,-10.79
37,12.66,-14.69,5.81
37.1,7.3,-11.63,3.21
37.2,-0.54,-4.21,1.72
37.3,0.23,-3.25,-1.72
37.4,12.89,-6.73,5.12
37.5,6,-6.04,1.84
37.6,-1.03,-0.27,-1.68
37.7,-1.8,1.68,-4.32
37.8,0.42,-5.32,0.46
37.9,7.42,-12.35,4.86
38,-2.49,-3.75,3.21
38.1,0.76,-1.19,0.57
38.2,17.1,-8.03,3.75
38.3,7.34,-6.73,0.73
38.4,0.57,2.83,-1.07
38.5,-3.63,0.46,5.16
38.6,-3.86,-5.89,2.18
38.7,7.3,-15.18,3.94
38.8,-3.9,-6.65,6.23
38.9,0.57,-3.37,-4.51
39,16.29,-10.44,4.93
39.1,6.12,-7.42,1.26
39.2,-0.08,4.97,-1.42
39.3,-4.9,1.03,-6.81
39.4,-1.07,-2.79,-4.59
39.5,5.16,-17.63,4.82
39.6,-2.07,-3.94,3.9
39.7,0.11,-1.15,1.15
39.8,18.93,-14.8,8.8
39.9,3.71,-12.81,6.85
40,0.8,4.78,1.22
40.1,0.11,-15.34,18.47
40.2,2.75,-11.67,-2.98
40.3,5.35,-18.7,4.32
40.4,-1.64,-7.19,4.59
40.5,1.07,-0.54,-1.22
40.6,12.58,-19.47,5.81
40.7,2.6,-14.76,7.19
40.8,1.3,5.2,1.193847
41.5,1.3,-19.51,-2.03
41.6,4.93,0.96,0.38
41.7,1.57,-3.1,-2.1
41.8,19.51,-16.71,6.62
41.9,16.52,-16.64,0.61
42,4.05,-10.59,5.05
42.1,0,-1.95,2.33
42.2,5.01,-10.94,-3.75
42.3,11.67,-13.39,0.08
42.4,5.7,0.92,-0.19
42.5,1.03,-0.76,-3.86
42.6,6.31,-4.97,-10.59
42.7,17.25,-15.18,5.55
42.8,6.43,-10.44,1.72
42.9,-1.45,-3.29,2.41
43,0.65,-2.56,-3.37
43.1,13.85,-9.98,4.67
43.2,6.39,-5.97,0.88
43.3,-0.31,4.13,-2.56
43.4,0.99,4.02,-7.04
43.5,2.41,-4.86,-2.75
43.6,6.46,-15.83,6.35
43.7,-0.96,-3.21,3.06
43.8,0.08,-1.15,-0.31
43.9,12.47,-12.39,5.51
44,5.28,-7.27,1.84
44.1,-0.27,0.99,0.27
44.2,-0.54,-3.1,4.97
44.3,-3.29,-9.26,-12.43
44.4,5.43,-17.1,3.6
44.5,-0.57,-5.47,5.43
44.6,-0.34,-0.31,0.54
44.7,19.51,-19.43,7.96
44.8,5.66,-13.92,4.21
44.9,0.73,4.13,1.45
45,-0.65,-8.53,8.76
45.1,-3.33,-3.9,-8.18
45.2,4.21,-16.03,-1.11
45.3,-0.27,-8.15,5.7
45.4,1.22,-0.92,-1.84
45.5,12.28,-17.71,2.79
45.6,2.6,-17.52,7.42
45.7,1.19,5.47,1.61
45.8,2.56,-5.93,2.33
45.9,5.09,-19.51,-19.51
46,5.28,-19.51,-2.52
46.1,0.99,-10.82,4.4
46.2,0.54,-1.57,0.54
46.3,6.58,-19.51,1.61
46.4,1.64,-19.51,4.86
46.5,4.28,3.25,1.303904
47.2,13.69,-6.73,4.44
47.3,7.3,-7.8,1.26
47.4,-0.84,0.69,-0.19
47.5,-1.72,-1.61,10.79
47.6,-4.25,-5.47,-7.15
47.7,7.04,-15.26,2.91
47.8,-0.31,-6.96,6.77
47.9,-1.03,-1.26,-0.04
48,13.27,-19.01,5.2
48.1,4.36,-17.21,6.04
48.2,2.98,3.33,1.42
48.3,2.1,-5.47,6.23
48.4,7.34,-18.89,-14.38
48.5,7.92,-17.82,3.67
48.6,3.33,-11.7,8.15
48.7,-1.84,-1.76,-1.34
48.8,4.32,-4.86,-2.64
48.9,7.3,-13.12,4.74
49,9.26,-4.28,0.8
49.1,0.23,-0.04,0.19
49.2,-0.96,-0.73,2.03
49.3,3.79,-19.51,-8.8
49.4,4.21,-19.43,5.89
49.5,-0.08,-9.18,5.78
49.6,0.34,-0.42,3.1
49.7,6.92,-17.55,0.5
49.8,7,-16.98,10.29
49.9,2.33,1.76,1.68
50,1.19,-0.88,0.11
50.1,4.74,-1.49,-5.12
50.2,10.48,-10.17,2.79
50.3,4.82,-13.16,9.22
50.4,-1.87,-2.98,0.15
50.5,0,-1.34,1.15
50.6,17.13,-9.18,7.53
50.7,7,-8.53,4.67
50.8,0.34,3.48,1.26
50.9,-1.64,-2.1,4.93
51,0.8,-14.8,-9.98
51.1,5.89,-14.27,-2.26
51.2,-0.42,-5.78,3.79
51.3,-1.34,-1.3,0.31
51.4,19.51,-18.36,8.53
51.5,2.94,-14.92,7.57
51.6,-0.34,6.04,-0.31
51.7,3.48,-10.29,6.62
51.8,1.91,-7.92,-9.06
51.9,6,-19.58,0.31
52,-2.1,-7.27,4.44
52.1,-0.11,-2.26,-0.27
52.2,7.61,-18.63,1.913961
52.9,-0.04,-2.14,2.37
53,6.81,-18.74,2.79
53.1,4.9,-19.51,4.82
53.2,3.82,2.07,-0.23
53.3,0.27,-3.6,-2.07
53.4,13.19,-19.43,19.51
53.5,19.51,-16.71,-0.76
53.6,6.92,-8.95,5.09
53.7,-0.46,-1.64,-0.34
53.8,1.64,-2.68,-1.22
53.9,16.52,-7.73,5.93
54,6.46,-3.82,-0.61
54.1,-1.3,2.41,-4.25
54.2,-5.43,0.84,-3.48
54.3,-3.33,-5.32,3.37
54.4,4.82,-11.82,4.25
54.5,-2.07,-3.75,1.95
54.6,0.69,-1.99,1.84
54.7,15.57,-10.44,6.62
54.8,6.39,-9.14,2.87
54.9,-0.42,5.01,-1.42
55,0.61,-5.28,7.11
55.1,2.75,-12.74,-11.05
55.2,8.68,-18.93,2.83
55.3,-4.7,-7.19,4.32
55.4,-0.88,-1.99,0.27
55.5,19.51,-14.11,7.69
55.6,4.97,-10.06,5.12
55.7,0.54,4.82,-1.84
55.8,-1.45,-6.16,5.24
55.9,2.52,-12.47,4.44
56,4.02,-14.11,-5.58
56.1,-1.57,-7.3,5.28
56.2,0.61,-1.34,-2.22
56.3,6.81,-16.29,3.21
56.4,2.56,-18.05,7.92
56.5,1.61,5.43,0.08
56.6,1.26,-4.47,1.34
56.7,7.27,-19.51,-10.1
56.8,5.35,-19.51,-2.1
56.9,1.72,-12.43,4.86
57,-0.57,-1.3,0.92
57.1,8.68,-19.51,3.17
57.2,3.21,-19.51,3.17
57.3,2.75,2.52,-0.46
57.4,2.6,-5.47,0.19
57.5,15.6,-19.51,13.23
57.6,14.3,-13,5.78
57.7,5.51,-12.16,3.4
57.8,-0.88,-0.8,0.8
57.9,1.84,-9.33,-5.284018
58.6,-2.6,-2.94,0.69
58.7,1.72,-7.57,-3.94
58.8,7.8,-15.03,-0.19
58.9,5.74,-0.57,-0.38
59,0.15,2.07,-2.03
59.1,-0.34,-0.8,-7.73
59.2,8.76,-10.52,-3.25
59.3,5.09,-12.47,4.93
59.4,-2.18,-3.63,0.96
59.5,1.42,-5.89,-2.64
59.6,10.21,-12.62,3.86
59.7,7.53,-5.28,2.14
59.8,-0.34,4.13,-1.76
59.9,-1.72,-0.23,-5.28
60,-4.17,-2.45,-16.18
60.1,5.78,-19.51,5.66
60.2,-3.33,-5.09,2.03
60.3,0.34,-0.15,0.42
60.4,19.51,-9.87,8.3
60.5,6.2,-6.96,1.19
60.6,-0.46,3.17,1.38
60.7,0.42,2.14,-1.72
60.8,-2.98,-13.12,-7.84
60.9,5.66,-17.82,3.14
61,-4.55,-7,4.21
61.1,0.31,-0.54,-1.26
61.2,19.51,-12.12,6.65
61.3,4.97,-9.22,3.71
61.4,-0.04,4.59,0.11
61.5,0.38,-6.77,2.72
61.6,1.38,-12.7,-14.69
61.7,8.22,-18.4,-2.79
61.8,-1.53,-7,4.36
61.9,1.49,-1.42,-0.76
62,17.63,-15.37,6.65
62.1,4.4,-10.1,6.39
62.2,0.11,5.32,-0.08
62.3,-1.42,-3.4,5.2
62.4,-2.98,-5.7,-13.58
62.5,5.62,-17.98,2.29
62.6,-3.6,-7.38,5.55
62.7,0.54,-0.34,-1.95
62.8,9.83,-19.01,4.93
62.9,3.86,-16.6,9.26
63,1.38,4.86,1.3
63.1,2.41,-7.8,5.12
63.2,6.54,-18.74,2.07
63.3,3.94,-15.72,-2.83
63.4,1.84,-8.72,7.38
63.5,1.15,-1.07,0.5
63.6,7.5,-16.29,2.224075
64.3,-1.15,-1.64,2.87
64.4,9.1,-17.94,0.61
64.5,3.63,-19.51,5.32
64.6,2.75,4.97,0.23
64.7,2.52,-4.47,-2.26
64.8,5.89,-15.49,-5.09
64.9,9.68,-12.66,-0.38
65,1.45,-8.8,6.35
65.1,-0.34,-2.37,3.33
65.2,7.57,-16.33,1.57
65.3,0.38,-19.51,4.32
65.4,2.98,4.78,-0.61
65.5,1.45,-4.86,-1.11
65.6,19.51,-19.47,-3.52
65.7,5.2,-15.76,-5.2
65.8,2.26,-8.95,7.46
65.9,0.38,-1.61,3.86
66,9.64,-18.4,-0.46
66.1,7.19,-19.51,5.09
66.2,5.39,2.87,0.04
66.3,-0.04,-1.61,-2.72
66.4,19.51,-19.51,19.51
66.5,13.46,-17.63,-1.91
66.6,5.12,-7.38,2.45
66.7,-1.45,-1.99,2.33
66.8,8.68,-16.25,-0.92
66.9,8.11,-19.51,4.78
67,3.4,3.79,0.69
67.1,1.61,-2.37,-2.22
67.2,19.39,-19.51,19.51
67.3,14.61,-16.22,-0.99
67.4,3.44,-9.68,3.4
67.5,-1.15,-2.26,3.6
67.6,2.18,-4.7,-1.34
67.7,8.18,-13.96,5.35
67.8,4.82,-0.34,-1.64
67.9,0.27,2.37,-4.21
68,4.78,0.99,2.94
68.1,14.72,-11.59,4.82
68.2,7.38,-10.21,3.25
68.3,-1.72,-3.82,2.1
68.4,2.26,-1.61,-0.99
68.5,10.06,-11.32,5.39
68.6,5.74,-5.16,0.27
68.7,-0.42,3.14,-2.98
68.8,2.41,-0.99,-7.15
68.9,6.46,-9.79,1.3
69,7.11,-15.99,5.97
69.1,-1.68,-3.94,2.91
69.2,1.22,0,0.15
69.3,19.05,-10.29,7.234132
69.5,-0.04,5.39,-0.654134
70,-0.88,-0.5,0.15
70.1,19.54,-19.51,10.98
70.2,3.82,-15.37,5.16
70.3,0.73,5.51,-0.11
70.4,0.04,-12.7,9.45
70.5,6.85,-19.51,-19.51
70.6,0.38,-19.51,-4.25
70.7,3.02,-11.78,8.38
70.8,-3.44,-2.6,-1.03
70.9,9.98,-16.71,-2.03
71,6.96,-19.51,5.97
71.1,3.79,3.56,0
71.2,-0.11,-1.76,-3.86
71.3,17.25,-15.53,19.51
71.4,17.82,-14,2.03
71.5,5.2,-9.33,5.12
71.6,-0.8,-1.87,1.03
71.7,2.98,-9.98,-5.12
71.8,15.8,-14.57,1.03
71.9,5.47,-3.1,-4.47
72,1.03,2.94,-1.91
72.1,3.67,-8.38,15.15
72.2,12.74,-9.91,5.2
72.3,3.6,-8.03,0.42
72.4,2.52,-5.43,1.19
72.5,1.84,-8.26,2.52
72.6,12.32,-12.39,1.99
72.7,4.74,-12.12,0.31
72.8,2.98,-4.86,-0.57
72.9,2.56,-5.24,1.87
73,5.58,-7.69,2.91
73.1,3.37,-6.92,-1.84
73.2,3.02,-8.83,0.38
73.3,2.98,-9.14,-0.23
73.4,3.06,-9.18,-0.08
73.5,3.4,-9.45,-0.57
73.6,4.09,-8.76,-0.15
73.7,3.79,-8.99,-0.27
73.8,3.21,-9.37,-0.11
73.9,4.51,-8.3,-0.61
74,3.75,-9.18,-0.69
74.1,3.71,-9.1,-0.57
74.2,4.09,-8.8,-0.69
74.3,4.13,-8.8,-0.69
74.4,3.98,-8.83,-0.73
74.5,4.05,-8.91,-0.73
74.6,4.02,-8.68,-0.8
