NAME: ,run_1_2,,
EXPERIMENT TIME: ,Mon May 23 20:55:34 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,139,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,4.59,-8.41,-0.54
0.1,4.63,-8.57,-0.46
0.2,4.67,-8.45,-0.42
0.3,4.59,-8.68,-0.46
0.4,4.4,-8.53,-0.57
0.5,4.36,-8.45,-0.65
0.6,4.36,-8.83,-0.5
0.7,4.28,-8.57,-0.5
0.8,4.28,-8.53,-0.54
0.9,4.44,-8.57,-0.38
1,4.55,-8.61,-0.5
1.1,4.25,-8.68,-0.46
1.2,4.28,-8.8,-0.46
1.3,4.25,-8.64,-0.42
1.4,4.28,-8.8,-0.46
1.5,4.21,-8.57,-0.5
1.6,4.4,-8.53,-0.57
1.7,4.28,-8.61,-0.5
1.8,4.32,-8.64,-0.34
1.9,4.7,-8.53,-0.42
2,4.51,-8.61,-0.38
2.1,4.28,-8.76,-0.23
2.2,4.32,-8.64,-0.19
2.3,4.7,-8.38,-0.27
2.4,4.51,-8.41,-0.54
2.5,4.36,-8.49,-0.61
2.6,4.44,-8.57,-0.42
2.7,4.44,-8.41,-0.54
2.8,4.47,-8.64,-0.54
2.9,4.51,-8.64,-0.38
3,4.47,-8.53,-0.38
3.1,4.47,-8.53,-0.38
3.2,4.47,-8.57,-0.38
3.3,4.4,-8.49,-0.5
3.4,4.51,-8.57,-0.34
3.5,4.47,-8.53,-0.38
3.6,4.4,-8.57,-0.23
3.7,4.44,-8.57,-0.38
3.8,4.44,-8.57,-0.46
3.9,4.44,-8.64,-0.42
4,4.36,-8.57,-0.46
4.1,4.36,-8.57,-0.46
4.2,4.4,-8.57,-0.5
4.3,4.47,-8.61,-0.61
4.4,4.4,-8.61,-0.5
4.5,4.44,-8.68,-0.5
4.6,4.32,-8.72,-0.5
4.7,4.44,-8.76,-0.34
4.8,4.32,-8.53,-0.423487
5.4,4.28,-8.72,-0.23
5.5,4.4,-8.61,-0.34
5.6,4.4,-8.49,-0.42
5.7,4.28,-8.68,-0.27
5.8,4.36,-8.8,-0.34
5.9,4.28,-8.53,-0.34
6,4.25,-8.64,-0.57
6.1,4.4,-8.64,-0.31
6.2,4.28,-8.57,-0.34
6.3,4.28,-8.64,-0.31
6.4,4.32,-8.49,-0.38
6.5,4.32,-8.68,-0.42
6.6,4.21,-8.64,-0.42
6.7,4.28,-8.61,-0.42
6.8,4.32,-8.61,-0.42
6.9,4.36,-8.64,-0.34
7,4.36,-8.64,-0.46
7.1,4.28,-8.61,-0.42
7.2,4.21,-8.61,-0.34
7.3,4.28,-8.57,-0.46
7.4,4.32,-8.61,-0.38
7.5,4.21,-8.53,-0.38
7.6,4.21,-8.64,-0.34
7.7,4.17,-8.61,-0.31
7.8,4.25,-8.72,-0.34
7.9,4.25,-8.76,-0.31
8,4.25,-8.61,-0.34
8.1,4.28,-8.64,-0.38
8.2,4.28,-8.68,-0.27
8.3,4.21,-8.61,-0.34
8.4,4.28,-8.61,-0.38
8.5,4.17,-8.72,-0.31
8.6,4.21,-8.68,-0.27
8.7,4.21,-8.61,-0.38
8.8,4.21,-8.61,-0.38
8.9,4.28,-8.76,-0.31
9,4.36,-8.68,-0.31
9.1,4.28,-8.72,-0.46
9.2,4.25,-8.61,-0.42
9.3,4.28,-8.57,-0.38
9.4,4.28,-8.68,-0.34
9.5,4.28,-8.57,-0.38
9.6,4.28,-8.61,-0.38
9.7,4.32,-8.61,-0.34
9.8,4.28,-8.57,-0.34
9.9,4.44,-8.61,-0.38
10,4.28,-8.64,-0.38
10.1,4.32,-8.64,-0.31
10.2,4.32,-8.64,-0.38
10.3,4.36,-8.57,-0.42
10.4,4.28,-8.64,-0.463543
10.7,4.28,-8.53,-0.503546
11.1,4.36,-8.68,-0.34
11.2,4.44,-8.53,-0.38
11.3,4.51,-8.45,-0.42
11.4,4.44,-8.53,-0.46
11.5,4.47,-8.53,-0.57
11.6,4.51,-8.57,-0.54
11.7,4.51,-8.61,-0.42
11.8,4.44,-8.61,-0.5
11.9,4.47,-8.57,-0.27
12,4.4,-8.53,-0.31
12.1,4.36,-8.53,-0.27
12.2,4.47,-8.53,-0.57
12.3,4.55,-8.53,-0.31
12.4,4.47,-8.57,-0.38
12.5,4.47,-8.49,-0.46
12.6,4.47,-8.53,-0.5
12.7,4.47,-8.61,-0.31
12.8,4.47,-8.57,-0.34
12.9,4.44,-8.53,-0.34
13,4.44,-8.49,-0.34
13.1,4.4,-8.41,-0.38
13.2,4.44,-8.49,-0.11
13.3,4.36,-8.41,-0.34
13.4,4.44,-8.49,-0.34
13.5,4.55,-8.53,-0.34
13.6,4.51,-8.53,-0.38
13.7,4.36,-8.49,-0.46
13.8,4.44,-8.72,-0.42
13.9,4.44,-8.57,-0.38
14,4.51,-8.53,-0.42
14.1,4.44,-8.53,-0.34
14.2,4.44,-8.53,-0.31
14.3,4.59,-8.45,-0.34
14.4,4.36,-8.53,-0.23
14.5,4.47,-8.57,-0.19
14.6,4.4,-8.34,-0.34
14.7,4.36,-8.72,-0.34
14.8,4.74,-8.38,-0.42
14.9,4.21,-8.38,-0.54
15,4.05,-7.34,0.42
15.1,4.36,-9.6,1.15
15.2,5.58,-8.61,2.37
15.3,4.28,-7.53,2.49
15.4,4.44,-8.38,2.98
15.5,3.79,-7.46,3.02
15.6,4.51,-6.27,3.48
15.7,4.21,-4.86,6.46
15.8,1.61,-3.02,1.64
15.9,15.03,-19.51,2.79
16,5.74,-16.06,2.26
16.1,0.61,-9.1,6.4636
16.4,3.29,-12.51,6.963603
16.7,3.4,-15.26,-5.283606
16.9,-2.91,-8.03,6.46
