"12466.0","65036","66118"
"12506.0","65137","66342"
"12546.0","65224","66547"
"12588.0","65293","66704"
"12628.0","65347","66809"
"12668.0","65382","66906"
"12708.0","65436","67020"
"12748.0","65346","66853"
"12788.0","64853","65753"
"12828.0","64620","65248"
"12868.0","64575","65172"
"12908.0","64627","65303"
"12948.0","64683","65434"
"12988.0","64786","65651"
"13030.0","64838","65787"
"13070.0","64810","65742"
"13111.0","64805","65723"
"13151.0","64862","65841"
"13191.0","64950","66044"
"13231.0","65054","66272"
"13271.0","65156","66487"
"13311.0","65242","66672"
"13351.0","65309","66824"
"13391.0","65357","66933"
"13431.0","65410","67036"
"13471.0","65466","67146"
"13511.0","65071","66306"
"13551.0","64708","65484"
"13591.0","64611","65279"
"13631.0","64662","65406"
"13673.0","64732","65587"
"13713.0","64813","65762"
"13753.0","64880","65916"
"13793.0","64830","65833"
"13833.0","64794","65745"
"13873.0","64830","65833"
"13913.0","64922","66038"
"13953.0","65017","66257"
"13993.0","65104","66437"
"14033.0","65167","66581"
"14073.0","65213","66673"
"14115.0","65262","66786"
"14155.0","65324","66918"
"14195.0","65242","66761"
"14235.0","64758","65678"
"14275.0","64531","65191"
"14315.0","64523","65178"
"14355.0","64595","65354"
"14396.0","64656","65496"
"14436.0","64767","65739"
"14476.0","64776","65785"
"14516.0","64726","65677"
"14556.0","64720","65675"
"14596.0","64781","65808"
"14636.0","64874","66009"
"14676.0","64960","66213"
"14716.0","65052","66401"
"14758.0","65115","66553"
"14798.0","65161","66659"
"14838.0","65210","66760"
"14878.0","65267","66872"
"14918.0","65247","66828"
"14960.0","64745","65718"
"15000.0","64472","65126"
"15040.0","64407","65004"
"15080.0","64435","65081"
"15120.0","64465","65160"
"15160.0","64535","65326"
"15200.0","64603","65487"
"15240.0","64591","65465"
"15280.0","64573","65424"
"15320.0","64621","65529"
"15360.0","64702","65706"
"15400.0","64796","65926"
"15440.0","64897","66139"
"15480.0","64980","66328"
"15520.0","65050","66468"
"15560.0","65108","66590"
"15602.0","65163","66712"
"15642.0","65221","66827"
"15685.0","64850","66018"
"15731.0","64486","65217"
"15771.0","64378","64995"
"15811.0","64408","65072"
"15853.0","64456","65224"
"15893.0","64533","65392"
"15933.0","64642","65600"
"15973.0","64626","65574"
"16013.0","64585","65507"
"16053.0","64611","65569"
"16093.0","64689","65747"
"16133.0","64792","65970"
"16173.0","64899","66185"
"16213.0","64995","66390"
"16255.0","65063","66551"
"16295.0","65121","66661"
"16335.0","65162","66759"
"16375.0","65231","66892"
