NAME:,walk_3_2.csv,,
EXPERIMENT TIME:,24/05/2022 10:25,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,88,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.377,0.39,-2.47,8.87
1.908,1.53,-2.12,9.18
3.387,-0.94,-1.02,7.41
4.937,0.35,-2.47,8.51
6.458,1.37,-1.88,7.85
7.887,-2.04,-0.98,9.45
9.392,-1.18,-2.35,9.34
10.916,0.82,-1.37,6.12
12.422,1.1,-1.37,11.1
13.89,0.2,-2.82,8.12
15.393,-2.04,-3.26,9.06
16.896,-0.39,-2.51,10.24
18.401,-2,-1.33,7.85
19.957,0.94,-2.04,8.79
21.402,0.51,-5.33,9.65
22.889,-0.39,-2.43,8.12
24.444,0.67,-2.55,8.67
25.901,0,-1.33,7.77
27.449,0.98,-1.92,9.02
28.976,0.43,-2.86,11.26
30.405,-0.59,-1.96,8.04
31.903,0.55,-1.02,8.94
33.475,0.04,-2.28,8.55
34.905,-0.75,-3.37,10.36
36.454,1.1,-2.35,9.34
37.907,-0.55,-1.18,8.39
39.493,0.78,-1.37,8.67
40.976,0.63,-2.82,8.87
42.48,0.63,-2.43,10.2
43.945,-0.75,-2.24,9.06
45.436,-0.16,-3.45,10.43
46.997,0.16,-2.51,9.85
48.43,-2.08,-2.86,8.67
49.953,-2.71,-2.24,7.69
51.495,1.65,-1.57,7.96
52.936,-0.98,-1.65,8.63
54.52,0.94,-1.37,8.63
55.986,0.12,-1.92,8.87
57.446,0.04,-2.71,8.83
58.94,-1.14,-2.55,9.65
60.512,1.84,-1.84,8.36
62.01,0.82,-1.61,8.51
90.589,0.24,-1.18,9.65
90.596,0.51,-1.53,8.59
90.599,-0.16,-0.94,8.79
90.603,0.75,-2.98,9.02
90.607,-1.61,-2.59,9.26
90.611,-0.59,-1.14,8
90.615,-1.22,-1.57,8.87
90.618,-0.51,-3.14,9.22
90.621,-0.59,-2.28,9.06
90.625,0.35,-2.67,8.51
90.631,39,-2.75,8.71
90.636,-0.47,-2.16,8.71
90.64,0.08,-2.16,8.98
90.644,0.2,-1.96,8.98
90.647,0.12,-2.04,8.98
90.651,0.04,-1.96,9.1
90.655,0,-2.08,9.06
90.659,0,-2,9.06
90.663,0.04,-2.04,9.02
92.039,0,-2.04,9.1
