NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,24-05-2022_2347,,
ACTIVITY TYPE:,Walk,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-1.92,-9.34,-0.9
0.274205,-1.26,-11.61,-0.71
0.548911,-0.98,-9.22,-2.28
0.824118,-1.69,-9.14,-1.69
1.099826,-2.75,-9.89,-0.63
1.376035,-1.26,-9.57,-2
1.652745,-0.9,-9.1,-1.26
1.929956,-2.71,-8.47,-3.1
2.207668,0.78,-9.81,-2.43
2.485881,-1.96,-9.77,-1.29
2.764595,-2.55,-11.96,-0.63
3.04381,-0.35,-9.73,-1.88
3.323526,0,-9.1,-1.65
3.603743,0,-11.34,0.27
3.884461,-0.86,-9.77,-2.08
4.16568,-3.41,-10.63,-2.16
4.4474,-1.22,-14.12,-3.3
4.729621,-0.39,-9.34,-2.08
5.012343,-4.28,-9.3,-2.63
5.295566,-0.12,-10.4,0.43
5.57929,-0.24,-9.81,-2.28
5.863515,-2.63,-7.85,-2.94
6.148241,-1.37,-11.18,0.31
6.433468,-0.82,-9.73,-1.96
6.719196,-2.28,-11.49,-2.31
7.005425,0.9,-11.69,-0.67
7.292155,-0.86,-9.77,-2.12
7.579386,-2.75,-9.1,-2.75
7.867118,-1.06,-10.04,0.39
8.155351,-0.12,-9.65,-1.37
8.444085,-2.12,-7.92,-2.75
8.73332,-2.39,-11.22,-0.12
9.023056,-0.47,-9.45,-1.65
9.313293,-2.31,-10.28,-2.51
9.604031,-0.35,-9.81,-0.16
9.89527,-0.86,-9.53,-1.37
10.18701,-1.53,-9.96,-2.55
10.479251,-1.41,-10.87,-1.37
10.771993,-0.98,-9.61,-1.92
11.065236,-3.53,-10.08,-2.47
11.35898,-0.59,-8.55,-0.59
11.653225,-2.2,-9.61,-2.79
11.947971,-0.47,-9.77,-1.06
12.243218,-0.59,-9.22,-0.86
12.538966,-1.41,-8.63,-1.77
12.835215,-0.86,-9.81,-1.8
13.131965,-1.1,-10.32,-1.96
13.429216,-1.57,-14.08,-0.94
13.726968,-1.14,-9.3,-1.14
14.025221,-2.2,-9.77,-2.28
14.323975,-0.67,-14.44,-1.22
14.62323,-0.51,-9.26,-1.57
14.922986,-2.16,-11.85,-1.77
15.223243,-3.65,-14.04,-0.63
15.524001,-0.59,-9.49,-1.73
15.82526,-2.63,-10.28,-2.12
16.12702,-1.57,-12.51,-1.77
16.429281,-0.75,-9.65,-1.37
16.732043,-1.96,-11.18,-2.35
17.035306,-0.63,-12,-1.45
17.33907,-1.14,-9.45,-1.45
17.643335,-1.92,-9.92,-2.63
17.948101,0.63,-11.38,0.08
18.253368,-0.55,-9.69,-1.41
18.559136,-1.26,-7.96,-2.63
18.865405,-1.45,-10,0.43
19.172175,-0.2,-9.69,-1.77
19.479446,-1.22,-9.14,-1.92
19.787218,-2.04,-10.32,-0.63
20.095491,-0.27,-9.61,-1.22
20.404265,0,-10.4,-2
20.71354,-0.98,-9.49,-0.16
21.023316,-0.43,-9.61,-1.92
21.333593,-3.73,-7.92,-2.98
21.644371,-1.69,-9.69,-0.67
21.95565,-1.29,-9.53,-2.31
22.26743,-0.59,-9.77,-2.24
22.579711,-0.24,-8.67,0.16
22.892493,-2.51,-10,-3.1
23.205776,0.63,-9.45,-2.12
23.51956,-1.49,-9.53,-1.26
23.833845,-1.14,-8.16,-0.9
24.148631,-0.16,-9.49,-1.65
24.463918,-1.65,-9.77,-1.45
24.779706,-1.33,-8.98,-0.51
25.095995,-0.31,-9.77,-1.8
25.412785,-2.82,-9.65,-1.84
25.730076,-5.41,-10.75,-2.75
26.047868,-1.88,-9.81,-3.14
26.366161,-5.1,-9.02,-1.49
26.684955,-6,-8,-1.37
27.00425,-3.8,-8.9,-1.8
27.324046,-0.39,-9.69,-1.53
27.644343,-2.04,-9.06,-3.02
27.965141,-1.53,-10.12,-0.47
28.28644,-0.82,-9.22,-2.51
28.60824,-1.14,-10.87,-2.71
28.930541,-0.35,-8.43,-0.94
29.253343,-2.28,-9.96,-2.71
29.576646,-0.9,-11.02,-3.06
29.90045,-1.37,-9.22,-0.94
30.224755,-1.06,-8.59,-2.79
30.549561,0,-9.38,-3.1
30.874868,-0.55,-9.45,-1.06
31.200676,-1.65,-8.98,-2.43
31.526985,0.16,-9.34,-2.71
31.853795,-1.61,-9.02,-1.18
32.181106,-2.16,-10.16,-0.59
32.508918,-0.78,-9.65,-1.65
32.837231,-1.96,-12.12,-2.31
33.166045,0.86,-10.55,0.24
33.49536,-0.75,-9.73,-1.96
33.825176,-2.31,-7.34,-2.24
34.155493,-1.45,-10.16,-0.94
34.486311,-0.47,-8.36,-3.73
34.81763,-0.16,-9.38,-4.55
35.14945,-2.75,-10.51,-1.69
35.481771,-3.14,-10.24,0.78
35.814593,-0.98,-9.65,-2.28
36.147916,-2.43,-8.32,-2.35
36.48174,-1.49,-9.14,-0.43
36.816065,-2.55,-9.3,-2.59
37.150891,-0.12,-9.3,-1.37
37.486218,-1.45,-9.14,-0.27
37.822046,-4.12,-9.14,-2.75
38.158375,-0.39,-9.3,-1.22
38.495205,-2.43,-9.34,-2.24
38.832536,-5.41,-8.83,-1.77
39.170368,-6.32,-8.04,-2.59
39.508701,-6.12,-7.92,-2.63
