"NAME:","walk_1_1.csv"
"EXPERIMENT TIME:","25-05-22 15:11"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","60"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.045",".08","-9.06","0.94"
"0.113",".55","-8.83","0.55"
"0.115","0.78","-8.75","0.90"
"0.117",".26","-8.83","0.82"
"0.161",".49","-8.98","0.98"
"0.163",".29","-9.30","0.86"
"0.207",".67","-9.02","0.94"
"0.252",".75","-9.02","0.75"
"0.254",".63","-9.85","0.75"
"0.3",".47","-9.81","1.41"
"0.346",".51","-9.89","2.24"
"0.348",".22","-10.08","2.59"
"0.394",".55","-10.32","2.24"
"0.437",".67","-11.61","0.94"
"0.481","0.63","-14.00","-0.20"
"0.485","1.41","-11.06","-0.86"
"0.529","3.26","-9.89","2.31"
"0.576","3.69","-9.45","1.45"
"0.624","0.82","-10.71","1.14"
"0.626","0.59","-9.81","0.04"
"0.671","0.12","-8.28","0.16"
"0.673","0.47","-7.88","0.67"
"0.719","0.94","-7.45","1.65"
"0.765","0.82","-7.49","0.82"
"0.811","0.20","-6.39","1.45"
"0.856","0.16","-6.67","2.31"
"0.902",".71","-7.57","2.59"
"0.949",".14","-9.10","2.98"
"0.954",".27","-10.08","2.86"
"1.0",".22","-10.67","4.75"
"1.002",".00","-9.30","4.98"
"1.047",".71","-8.16","4.20"
"1.092","0.86","-12.08","4.43"
"1.137","5.81","-11.96","2.12"
"1.139","3.92","-10.71","3.37"
"1.185","1.57","-7.73","1.77"
"1.187","0.59","-8.47","-0.31"
"1.232","0.78","-9.49","0.00"
"1.277","1.69","-9.22","1.26"
"1.279","1.26","-7.65","1.49"
"1.325","0.63","-7.14","1.29"
"1.37","1.73","-8.16","0.98"
"1.414","0.86","-7.53","0.78"
"1.416","0.16","-7.85","0.86"
"1.462",".18","-7.96","0.43"
"1.464",".55","-8.83","0.67"
"1.54",".49","-7.96","1.73"
"1.542",".47","-7.73","1.57"
"1.544","0.35","-8.16","2.00"
"1.597",".71","-8.59","0.75"
"1.642",".84","-9.45","1.53"
"1.688",".20","-10.67","2.31"
"1.734",".53","-13.77","1.18"
"1.736","0.43","-14.91","-0.24"
"1.782","0.47","-11.61","-1.45"
"1.828","2.16","-9.77","1.10"
"1.83","3.73","-9.14","2.12"
"1.877","0.78","-11.41","1.65"
"1.922",".26","-10.20","1.29"
"1.968",".78","-7.34","-0.39"
"1.97","0.08","-6.43","0.04"
"2.017","0.47","-6.79","1.14"
"2.02",".55","-7.61","0.78"
"2.103","0.08","-6.20","1.18"
"2.163","0.35","-5.69","1.73"
"2.165",".08","-6.51","1.80"
"2.167",".02","-8.12","2.75"
"2.214",".90","-10.20","2.28"
"2.216",".75","-12.40","2.98"
"2.275",".73","-9.96","5.53"
"2.33",".80","-10.12","5.77"
"2.332","1.80","-13.69","-1.29"
"2.378","5.84","-13.49","4.12"
"2.38","2.08","-8.12","2.28"
"2.428","1.18","-8.00","0.98"
"2.476","1.45","-9.89","-0.59"
"2.478","1.45","-9.45","0.86"
"2.525","1.37","-7.45","1.33"
"2.571","0.71","-7.30","1.41"
"2.573","0.71","-7.37","1.29"
"2.624","0.51","-7.53","0.43"
"2.67",".35","-7.37","0.86"
"2.718",".77","-8.28","0.71"
"2.72",".69","-8.59","1.33"
"2.767",".16","-9.10","1.26"
"2.814","0.63","-8.59","2.79"
"2.816",".41","-8.67","0.51"
"2.862",".59","-11.45","2.24"
"2.909","0.04","-12.16","2.35"
"2.956","1.10","-13.06","-0.86"
"2.958","0.16","-13.85","0.24"
"3.005","0.04","-11.14","-0.71"
"3.052","3.53","-10.90","0.94"
"3.054","1.49","-12.47","2.24"
"3.101",".51","-11.02","1.02"
"3.102",".63","-6.55","-0.27"
"3.149","0.04","-6.04","0.20"
"3.196","0.20","-6.43","0.16"
"3.244",".20","-7.57","0.98"
"3.246",".24","-6.04","1.26"
"3.294","0.04","-5.10","0.90"
"3.34","0.16","-6.04","2.04"
"3.342",".43","-7.69","2.75"
"3.39",".82","-9.26","1.84"
"3.392",".33","-12.40","2.63"
"3.439",".82","-11.45","5.02"
"3.486",".96","-9.92","4.86"
"3.533",".08","-12.63","-0.08"
"3.535","6.47","-13.49","3.41"
"3.586","3.33","-9.38","2.24"
"3.591","1.06","-6.83","-0.20"
"3.639","0.43","-9.61","-0.35"
"3.686","0.86","-9.69","0.27"
"3.688","1.80","-7.96","1.65"
"3.736","0.78","-7.10","1.29"
"3.783","0.59","-7.06","0.82"
"3.785","1.69","-7.10","0.31"
"3.833","0.12","-7.69","0.47"
"3.88",".59","-7.69","0.00"
"3.882",".92","-8.00","0.31"
"3.965",".02","-9.02","1.61"
"3.967","-0.08","-7.88","1.26"
"4.031",".63","-8.98","0.00"
"4.08",".33","-11.26","0.20"
"4.082","4.67","-11.30","2.31"
"4.129","0.90","-13.49","-0.43"
"4.13","1.49","-11.30","0.71"
"4.177","2.59","-9.92","0.59"
"4.225","2.63","-12.08","2.47"
"4.272",".00","-12.98","2.35"
"4.275",".67","-8.75","0.51"
"4.322",".24","-7.10","0.08"
"4.324","0.43","-6.35","0.39"
"4.372","0.16","-6.43","1.02"
"4.42",".24","-6.90","1.22"
"4.47","0.35","-5.33","1.29"
"4.472","0.31","-6.04","1.69"
"4.519",".00","-7.18","2.82"
"4.521",".18","-8.79","2.98"
"4.57",".94","-11.65","1.96"
"4.624",".86","-12.08","5.49"
"4.626",".08","-9.34","4.59"
"4.675",".16","-9.53","5.02"
"4.722",".51","-11.45","1.33"
"4.724","6.71","-12.94","3.77"
"4.773","5.10","-11.69","2.75"
"4.82","0.55","-7.81","1.41"
"4.823",".16","-8.36","-2.20"
"4.871","0.94","-8.83","-0.55"
"4.873","1.84","-8.16","1.37"
"4.921","0.31","-7.34","2.08"
"4.969","0.71","-7.18","0.67"
"4.972","1.41","-7.34","0.47"
"5.02",".16","-7.69","0.75"
"5.07",".94","-8.04","1.02"
"5.072",".73","-8.43","0.86"
"5.121",".33","-8.75","1.88"
"5.123",".43","-7.85","0.94"
"5.172","0.08","-9.26","2.16"
