NAME:,walk_5_1.csv,,
EXPERIMENT TIME:,25-05-22 18:30,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,140,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-0.9,-1.61,10.43
0.01,-0.75,-1.49,10.12
0.04,-0.94,-1.57,10.28
0.074,-1.02,-1.53,10.32
0.103,-0.94,-1.65,10.28
0.134,-1.02,-1.8,10.16
0.168,-1.1,-1.84,10.16
0.203,-1.06,-1.77,10.36
0.237,-1.1,-1.92,10.32
0.274,-1.02,-2.2,10.24
0.307,-1.41,-2,9.85
0.341,-1.33,-1.96,10
0.375,-0.9,-1.96,10.08
0.395,-1.29,-1.8,10
0.422,-1.45,-1.96,10.16
0.457,-1.14,-1.77,10.43
0.492,-1.92,-1.53,10.59
0.526,-1.37,-0.51,9.96
0.56,-0.98,-0.24,10.51
0.594,-1.1,-0.12,10.75
0.629,-0.75,-0.71,10.08
0.663,-0.98,-0.43,10.59
0.699,-0.75,0.51,10.28
0.712,-1.06,0.59,10
0.761,-1.65,0.78,10
0.795,-1.33,0.2,10
0.812,-1.1,-0.04,10.12
0.84,-1.18,0.51,10.08
0.874,-1.22,0.39,10
0.908,-1.26,0.47,9.81
0.942,-1.49,0.31,9.73
0.978,-2.43,0.2,9.92
1.011,-2.08,-0.08,10.4
1.045,-2.04,0.9,11.69
1.08,-2.86,0.86,12.67
1.113,-2.16,1.37,14.55
1.148,-2.24,1.69,16.04
1.16,-2.82,4.16,13.34
1.231,-3.96,4.2,10.4
1.298,-2.94,0.43,6.83
1.367,-3.26,-0.75,8.67
1.413,-3.45,-3.06,12.59
1.427,-2.43,-2.28,13.81
1.442,-2.12,-1.41,8.55
1.444,-1.96,-1.96,7.14
1.458,-0.82,-2.75,7.49
1.487,-0.24,-2.04,7.22
1.511,0.63,-1.73,8.39
1.544,1.02,-2.12,8.2
1.596,1.96,-2.75,7.41
1.611,2.75,-1.65,8.59
1.646,2.35,-0.16,12.12
1.68,2.43,0.27,12.75
1.715,0.63,-1.8,12.83
1.736,4.79,-5.02,13.34
1.776,4.2,-2.75,13.18
1.809,-4.75,-5.37,13.1
1.835,-3.96,-5.45,12.12
1.861,0.55,-0.35,11.26
1.895,-2.12,1.41,7.3
1.928,2.71,-2.63,12.83
1.962,-1.29,-3.18,12.43
1.997,-0.31,-1.49,6
2.041,-1.57,-0.63,7.61
2.074,-2.43,-0.16,9.26
2.091,-1.8,0.43,8.08
2.118,-1.14,-0.08,8.2
2.152,-0.71,0.27,8.47
2.186,-2.28,1.1,9.69
2.22,-2.39,-1.1,11.61
2.253,-1.45,-2.04,13.81
2.292,-1.61,0.27,12.36
2.322,-2.08,3.96,12.32
2.354,-3.26,-0.98,15.3
2.391,-6.94,1.33,12.51
2.425,-7.06,1.84,7.3
2.459,-1.8,-4.94,12
2.476,-2.31,-4.35,13.89
2.503,-2.28,-0.24,11.41
2.536,-2.82,2.47,6.2
2.572,-0.86,-1.77,7.96
2.606,-0.9,-2.67,6.51
3.084,-0.24,-2.39,5.88
3.598,0.67,-2.67,7.02
