NAME:,walk_5_1.csv,,
EXPERIMENT TIME:,24/05/2022 10:29,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,88,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1.366,-0.31,-2.2,8.9
2.935,0.24,-2.28,8.79
4.36,-1.33,-1.73,8.67
5.849,-0.35,-1.26,6.71
7.358,0.86,-3.33,8.9
8.89,0.88,-3.18,4.24
10.356,3.57,2.47,5.41
11.948,0.67,1.88,6.04
13.433,0.37,1.96,8.28
14.936,2.24,3.92,9.81
16.422,1.14,2.43,6.08
17.912,0.31,2.12,6.35
19.428,0.18,2.86,5.77
20.898,0.49,3.1,8.87
22.4,0,3.92,9.61
23.898,2.2,2.98,13.38
25.443,0.82,2.51,8.67
26.897,0.04,3.49,6.08
28.397,0.71,2.04,5.06
29.919,0.31,4.2,12.12
31.396,7.02,2.63,14.59
32.915,0.43,2.51,8.08
34.451,0.92,2.98,7.49
35.964,0.59,3.92,11.61
37.414,5,4.98,11.38
38.917,0.28,5.53,11.65
40.426,0.35,3.18,4.86
41.918,0.04,3.57,5.84
43.415,0.37,3.53,8.16
44.935,0.59,3.18,4.51
46.429,0.55,3.73,7.88
47.94,0.51,3.33,6.94
49.424,0.14,5.49,8.94
50.971,0.63,3.02,10.2
52.432,0.63,4.55,10
53.941,0.65,4.67,7.1
55.407,-0.9,3.77,10.51
56.943,1.26,3.26,13.93
58.415,3.88,2.79,6.79
59.944,49,2.98,6.16
61.444,0.65,2.98,6.39
62.949,0.96,2.9,9.06
64.459,0.92,3.57,4.75
65.942,0.88,2.2,5.69
67.444,0.14,1.92,4.71
68.938,0.73,6.39,6.39
70.438,3.02,6.04,8.08
71.94,0.06,-9.61,19.61
73.511,0.33,0.98,9.85
75.014,0.18,1.57,8.04
