NAME:,yoniwal1.csv,,
EXPERIMENT TIME:,Tue May 24 16:48:04 GMT+03:00 2022,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,74,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
728.97,-1.18,7.77,2.47
729.03,-1.37,9.41,2.71
729.08,0.67,8.28,2.82
729.13,1.73,9.18,2.43
729.19,0.51,8.39,2.75
729.24,0.63,9.1,1.53
729.29,1.73,9.22,1.53
729.35,-0.31,10.43,2.08
729.4,-1.49,9.77,1.26
729.45,-0.75,14.04,1.84
729.51,5.69,11.49,0.31
729.56,3.65,8.16,2.0
729.61,0.86,10.55,2.59
729.67,2.24,8.75,0.0
729.72,1.88,8.75,0.94
729.77,2.55,8.55,2.31
729.83,1.65,8.28,3.06
729.88,0.67,6.63,3.53
729.93,1.02,6.86,4.35
729.99,0.71,7.57,4.86
730.04,1.77,9.26,5.45
730.09,2.82,11.26,4.51
730.15,0.2,8.59,10.67
730.2,6.47,9.92,0.04
730.26,8.83,10.47,-0.24
730.31,2.24,7.26,0.35
730.36,2.86,10.67,0.43
730.42,1.92,6.86,1.37
730.47,1.14,7.1,1.65
730.52,0.16,8.12,2.35
730.58,-1.33,9.45,2.75
730.63,0.75,9.1,1.88
730.68,1.1,8.63,2.04
730.74,0.67,7.81,3.1
730.79,0.31,9.3,1.45
730.84,-0.75,10.47,1.96
730.9,-0.04,10.24,1.18
730.95,1.26,10.32,4.86
731.01,3.18,11.73,0.51
731.06,3.96,9.69,1.37
731.11,1.06,10.43,3.69
731.17,1.65,9.3,0.86
731.22,1.57,7.41,1.06
731.28,2.82,8.16,2.24
731.33,1.8,8.75,2.75
731.38,0.12,6.83,3.77
731.44,0.71,6.79,4.28
731.49,1.22,7.53,4.71
731.54,1.33,8.24,4.43
731.6,1.49,8.79,4.59
731.65,1.45,9.96,5.3
731.71,1.92,10.24,6.08
731.76,6.04,16,-0.24
731.81,4.28,5.37,2.82
731.87,0.47,9.69,-0.04
731.92,2.12,9.22,3.3
731.98,3.33,6.35,0.59
732.03,0.35,8.9,1.29
732.08,0.31,8.2,2.04
732.14,0.27,9.41,1.88
732.19,0.67,9.49,2.24
732.24,0.16,8.9,2.2
732.3,0.75,8.79,2.24
732.35,0.94,9.06,2.2
732.41,-0.04,9.18,1.84
732.46,-0.16,9.3,3.1
