NAME:,yoniwal1.csv,,
EXPERIMENT TIME:,Tue May 24 16:48:04 GMT+03:00 2022,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,74,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
763.57,2.39,7.53,1.84
763.63,0.47,10.59,2.59
763.68,2.71,8.83,1.69
763.74,1.92,8.87,1.57
763.79,2.63,8.12,2.31
763.84,0.98,7.53,2.82
763.9,0.94,6.63,3.49
763.95,0.86,7.26,4.16
764.01,0.59,7.61,4.71
764.06,1.06,8.9,5.02
764.11,1.84,9.77,4.67
764.17,0.9,10.94,8.0
764.22,6.35,11.18,3.65
764.28,5.37,9.41,4.47
764.33,2.55,8.75,-0.82
764.38,4.51,9.53,-2.04
764.44,2.35,7.37,0.71
764.49,1.57,7.96,2.24
764.55,0.47,8.83,2.16
764.6,0.08,8.98,2.86
764.65,0.27,8.87,2.51
764.71,0.82,8.83,2.04
764.76,1.22,8.9,1.92
764.82,0.16,8.98,1.92
764.87,0.98,8.9,2.0
764.92,0.75,9.22,2.59
764.98,-0.47,9.96,2.82
765.03,1.18,10.36,1.45
765.08,0.08,12.55,1.41
765.14,5.57,10.43,0.51
765.19,3.53,8.59,1.33
765.25,0.78,9.18,2.39
765.3,2.35,9.53,0.27
765.35,1.73,8.55,1.37
765.41,3.1,9.14,2.04
765.46,1.96,7.73,3.45
765.52,1.41,6.51,3.45
765.57,1.57,7.61,3.41
765.62,1.57,8.04,4.04
765.68,1.84,8.59,4.79
765.73,0.63,9.45,4.04
765.79,0.2,9.06,7.1
765.84,-0.55,7.92,7.57
765.9,9.22,13.34,0.24
765.95,7.69,10.55,3.65
766,-0.82,4.47,0.16
766.06,2.82,11.38,0.82
766.11,4.43,6.2,1.06
766.16,1.29,9.18,0.59
766.22,-0.43,8.67,2.35
766.27,-0.39,9.45,2.16
766.33,0.82,8.9,1.88
766.38,1.22,9.14,1.92
766.43,1.06,8.94,2.04
766.49,1.14,8.75,1.88
766.54,0.94,9.3,1.65
766.6,-0.08,9.96,2.12
766.65,-1.06,10.79,2.28
766.71,1.26,9.49,3.37
766.76,-0.12,10.51,1.29
766.81,6.12,11.38,-0.51
766.87,2.47,7.61,1.57
766.92,1.26,10.43,1.57
766.97,1.18,9.77,1.77
767.03,1.33,8.43,1.92
767.08,2.98,8.36,1.88
767.14,2.59,8.08,2.16
767.19,1.33,6.59,3.22
767.24,1.29,7.49,3.3
767.3,0.86,8.32,4.16
767.35,0.86,8.43,4.59
767.41,0.71,8.71,4.67
767.46,0.86,9.49,5.61
767.52,1.53,10.75,6.04
767.57,6.47,12.43,0.63
767.62,5.02,4.75,4.71
767.68,1.22,8.43,0.86
767.73,3.26,10.28,0.08
767.78,3.57,6.79,1.73
767.84,1.57,8.43,1.57
767.89,0.2,8.59,2.04
767.95,-0.08,8.47,2.79
768,1.33,10.63,1.26
768.06,-0.04,8.98,2.51
768.11,-0.35,8.55,2.82
768.16,1.02,8.87,2.12
768.22,0.51,9.22,1.69
768.27,0.59,9.81,2.08
768.33,-0.9,10.43,2.59
768.38,1.1,9.49,1.33
768.43,0.75,11.1,1.57
768.49,5.22,10.75,0.98
768.54,4.04,9.1,1.1
768.6,0.82,10.71,3.02
768.65,1.53,9.06,1.14
768.71,1.22,7.96,1.53
768.76,3.06,8.04,1.49
768.81,2.63,8.12,2.59
768.87,0.9,6.51,3.8
768.92,0.78,6.47,4.24
768.97,0.55,8.04,5.14
769.03,1.57,9.06,4.55
769.08,2.39,9.26,4.08
769.14,1.29,9.06,7.57
769.19,6.47,11.38,3.61
769.24,5.65,11.85,6.86
769.3,1.22,7.96,1.33
769.35,1.88,11.26,0.39
769.41,4.31,4.71,2.28
769.46,2.63,8.43,1.06
769.52,0.39,8.36,1.92
769.57,0.47,8.36,1.84
769.62,0.71,8.83,2.12
769.68,0.24,8.51,2.9
769.73,1.57,8.9,1.73
769.78,0.9,9.02,1.92
769.84,0.12,9.18,2.0
769.89,-0.12,10.4,1.77
769.95,-0.86,9.57,2.47
770,0.2,10.75,0.86
770.05,0.71,12.71,2.24
770.11,5.57,11.14,-0.35
770.16,3.8,9.26,1.14
770.22,0.31,9.73,3.06
770.27,1.96,9.77,0.39
770.32,1.41,7.73,1.92
770.38,3.26,8.04,1.92
770.43,1.61,7.85,3.22
770.49,1.06,6.71,3.61
770.54,1.26,7.77,3.73
770.59,1.45,8.36,4.39
770.65,1.33,8.43,4.43
770.7,1.06,9.45,4.47
770.76,0.75,10.36,5.57
770.81,0.75,10.04,5.57
770.86,5.65,14.04,-0.59
770.92,5.65,6.24,2.47
770.97,2.71,7.14,0.47
771.03,3.41,10,1.8
771.08,2.75,6.24,1.65
771.13,1.33,9.41,1.49
771.19,0.27,7.49,2.67
771.24,0.67,9.14,2.2
771.3,0.39,9.57,1.8
771.35,0.67,8.63,1.96
771.4,1.41,9.02,1.69
771.46,1.18,8.59,1.8
771.51,0.78,9.69,2.16
771.57,-0.2,10.36,2.08
771.62,0.2,9.89,3.26
771.67,1.65,9.92,2.16
771.73,0.31,11.89,0.98
771.78,5.37,10.55,-0.63
771.84,1.29,10.16,1.96
771.89,0.71,10.12,2.35
771.94,1.57,8.75,0.16
772,1.73,7.45,2.59
772.05,2.79,7.92,2.35
772.1,2.08,6.43,2.94
772.16,1.1,6.08,4.43
772.21,0.39,7.96,4.39
772.27,0.39,8.83,5.02
772.32,1.18,9.14,4.55
772.37,0.9,10.12,5.53
772.43,3.06,11.41,4.28
772.48,6,17.02,1.18
772.54,3.3,6.16,0.12
772.59,3.18,8.39,0.71
772.64,3.18,8.63,1.18
772.7,1.69,6.94,0.59
772.75,0.82,7.73,2.12
772.81,0.2,8.36,3.06
772.86,0.16,9.57,1.84
772.91,1.65,8.87,2.24
772.97,0.86,8.63,2.39
773.02,0.04,8.94,2.35
773.08,0.39,8.87,1.69
773.13,0.39,9.85,2.63
773.18,-1.69,10.04,2.2
773.24,1.41,10.04,-0.16
773.29,0.47,12.43,0.0
773.34,5.96,11.18,-0.2
773.4,2.2,7.61,2.71
773.45,0.75,10.28,3.33
773.51,1.96,8.24,1.14
773.56,1.45,8.28,2.28
773.61,2.82,8.36,2.16
773.67,1.49,7.88,2.86
773.72,0.67,6.43,3.65
773.78,1.18,7.41,3.8
773.83,1.02,8,4.43
773.88,0.94,8.9,4.63
773.94,1.41,8.98,4.67
773.99,0.9,10.94,6.55
774.04,4.12,11.81,5.45
774.1,5.45,15.14,4.16
774.15,4.51,4.75,0.63
774.2,2.2,10.04,-0.71
774.26,3.49,8.51,0.98
774.31,2.2,7.37,1.69
774.37,1.26,8.24,2.35
774.42,0.2,8.47,2.59
774.47,0.47,9.26,2.12
774.53,2.04,9.26,2.2
774.58,0.63,8.59,2.47
774.64,0.39,8.67,2.2
774.69,0.47,9.1,1.49
774.74,1.18,9.61,2.2
774.79,-1.37,10.36,1.69
774.85,0.24,8.75,2.28
774.9,1.18,11.89,1.33
774.96,4.47,13.1,-0.51
775.01,3.69,7.96,1.37
775.06,0.63,10.98,2.94
775.11,2.59,9.06,0.59
775.17,1.69,7.61,2.04
775.22,2.82,8.16,1.84
775.28,1.92,8.04,2.82
775.33,0.59,6.75,3.57
775.39,0.86,6.79,4.08
775.44,0.47,7.88,4.71
775.49,1.18,8.67,4.82
775.55,2.43,9.65,4.39
775.6,0.27,10.79,6.79
775.66,1.96,7.92,5.53
775.71,8.39,18.48,0.55
775.76,2.55,3.77,0.9
775.82,1.18,7.88,-0.16
775.87,3.57,9.77,0.82
775.92,2.04,6.86,1.45
775.98,0.59,7.41,2.51
776.03,0.2,8.71,2.39
776.08,0.9,9.41,1.77
776.14,1.41,8.71,1.96
776.19,0.59,8.98,2.0
776.24,0.71,8.67,2.35
776.3,0.16,9.18,1.65
776.35,0.82,10.16,2.28
776.41,-0.51,10.2,2.94
776.46,0.12,10.04,0.31
776.51,0.71,11.61,0.0
776.57,6.32,10.79,0.31
776.62,2.35,10.32,1.8
776.67,0.08,10.04,3.18
776.73,2.16,8.75,0.75
776.78,1.69,8.08,1.26
776.84,3.22,7.85,2.0
776.89,1.96,7.61,3.14
776.94,0.86,6.08,3.88
777,0.78,7.26,4.67
777.05,0.35,8.79,4.82
777.1,1.45,8.67,5.02
777.16,2.04,10.36,4.86
777.21,5.14,12.59,3.73
777.27,6.51,16.59,-0.35
777.32,4.31,4.82,1.41
777.37,1.33,9.77,0.08
777.43,2.98,11.57,-1.88
777.48,1.49,7.57,0.98
777.54,0.04,8.28,2.63
777.59,0.35,7.77,2.67
777.65,0.27,8.67,2.71
777.7,1.65,8.67,2.16
777.75,0.94,8.98,2.47
777.8,-0.94,8.94,2.9
777.86,0.08,8.9,1.37
777.91,0.31,10.59,1.77
777.97,-1.45,9.14,2.51
778.02,2.39,10.63,1.73
778.07,2.04,14.55,1.77
778.13,4.24,8.08,1.37
778.18,1.22,10.47,3.1
778.23,1.61,9.06,0.86
778.29,1.57,8,1.69
778.34,2.51,8.04,1.84
778.4,2.71,7.88,2.39
778.45,0.86,7.37,3.26
778.5,0.78,6.55,4.24
778.56,0.47,7.41,4.71
778.61,1.02,8.32,5.18
778.66,1.69,9.14,3.96
778.72,1.06,9.92,7.45
778.77,3.65,11.1,4.63
778.83,5.69,15.61,4.28
778.88,3.02,6.08,1.49
778.93,2.59,9.53,0.43
778.99,3.45,7.92,1.92
779.04,1.96,7.26,1.57
779.09,0.24,8.08,1.96
