NAME:,walk_1_1.csv,,
EXPERIMENT TIME:,25-05-22 18:06,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,111,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.041,-2.39,-1.8,10.12
0.048,-2.51,-1.73,10.08
0.077,-2.55,-1.77,9.92
0.111,-2.43,-2.08,9.89
0.181,-2.67,-2.12,10.04
0.249,-2.86,-2.2,9.73
0.258,-2.47,-2.59,9.3
0.276,-2.31,-2.47,9.53
0.279,-1.77,-2.28,10.36
0.292,-2.16,-2.31,10.43
0.317,-2.2,-2.31,9.77
0.364,-2.2,-2.35,9.61
0.38,-2,-2.28,10.12
0.415,-2.04,-2.24,9.89
0.451,-2.04,-1.84,9.73
0.484,-2.43,-1.02,10.04
0.518,-2.04,-0.51,10.16
0.551,-1.41,-0.51,10.9
0.584,-1.22,-1.1,10.9
0.62,-1.8,-0.2,9.69
0.654,-2.79,1.02,9.92
0.672,-2.59,0.12,9.49
0.716,-0.55,0,8.71
0.738,-2.75,0.31,9.57
0.764,-2.51,-0.24,10.12
0.799,-2.04,-0.16,9.96
0.834,-3.06,0.39,9.57
0.866,-2.2,-0.08,9.41
0.899,-2.35,-0.67,9.73
0.934,-3.22,-0.08,9.96
0.97,-3.33,0.2,10.67
1.038,-3.1,-0.08,12.32
1.108,-3.14,-0.04,13.53
1.171,-3.02,0.55,13.61
1.204,-3.84,0.82,12.75
1.218,-7.1,1.29,11.41
1.22,-6.9,-1.29,9.41
1.232,-4.43,-2.43,7.77
1.254,-3.3,-2.35,11.77
1.291,-3.3,-1.14,10.08
1.325,-2.75,-1.29,9.81
1.359,-1.73,-2.47,8.63
1.393,-1.45,-2.55,7.49
1.462,-1.8,-2.71,8.51
1.528,-1.29,-3.26,9.26
1.554,-0.51,-3.26,8.75
1.566,-0.16,-2.43,7.61
1.586,1.33,-1.84,8.83
1.62,2.24,-1.18,9.89
1.654,2.86,-0.51,12.36
1.668,0.59,-3.18,13.45
1.696,3.65,-4.51,11.89
1.73,2.12,-4.12,14.12
1.766,-0.82,-3.49,12.4
1.8,-3.22,-7.3,10.47
1.835,-0.47,-0.82,9.26
1.87,-2.51,1.06,8.63
1.903,-1.88,-2.67,10.28
1.937,-2.9,-5.02,10.79
1.971,-2.75,-3.26,9.53
1.986,-3.06,-1.61,7.88
2.014,-3.8,0.47,7.53
2.049,-4.86,0,9.22
2.082,-3.26,-0.75,9.26
2.116,-0.82,-0.39,8.55
2.151,-1.65,0.63,7.88
2.183,-3.02,0.35,8.32
2.215,-3.14,-1.84,8.47
2.251,-2.82,-4.55,13.61
2.284,-4.16,2.47,12.47
2.319,-1.96,2.28,14.87
2.354,-3.69,-2.63,15.22
2.388,-9.02,3.06,12.12
2.402,-7.34,-1.29,7.26
2.428,-2,-6.86,8.59
2.462,-2.12,-4.04,12.87
2.494,-3.14,-1.22,12.12
2.529,-3.45,-0.31,6.71
2.563,0.78,-2.82,5.77
2.596,-0.59,-1.65,6.86
2.63,0.08,-2.75,6.86
2.663,0.82,-3.3,7.49
2.741,1.33,-2.82,7.57
2.812,2.79,-1.84,8.87
2.873,0.94,-0.39,13.3
2.899,-4.31,-3.1,15.06
2.947,6.24,-4,13.49
3.014,1.92,-4.43,13.69
3.076,-5.22,-7.41,14.63
3.079,-2.79,-7.3,10.55
3.098,-0.94,1.33,8
3.1,-2.67,-0.31,10.71
3.103,-3.1,-5.14,9.53
3.105,-1.14,-3.84,9.34
3.115,-2.98,-0.86,6.43
3.156,-1.02,-0.2,5.33
3.179,-3.61,0.55,7.18
3.196,-2.71,-0.51,7.53
3.229,-2.51,-1.29,7.06
3.263,-3.1,0.2,9.02
3.296,-2.86,0.47,10.9
3.34,-5.53,-2.24,14.67
3.376,-1.22,-3.57,13.1
3.409,-4.08,3.69,11.89
3.444,-4.43,-2.43,16.16
3.464,-7.3,-0.67,11.02
3.484,-7.37,3.77,7.73
3.518,-6.63,-5.14,13.34
3.551,-1.26,-8.04,15.02
3.588,-2.94,-2.94,12.59
3.62,-2.94,0.71,7.06
3.652,-2.35,-0.27,4.82
3.686,-0.08,-2.59,3.8
3.724,0.04,-2.94,5.57
3.757,0.2,-2.51,5.45
3.787,1.61,-1.92,7.1
3.822,2.79,-3.37,8.04
3.852,1.92,-2.31,11.3
3.892,1.1,-0.94,17.73
3.923,-1.29,-4.28,14.28
4.259,6,-3.77,13.06
4.746,0.43,-1.88,10.04
4.762,-9.85,-11.06,13.96
4.785,-0.9,0.98,8.12
4.797,0.47,-2.82,5.06
4.83,0.39,-2.71,4.98
4.863,0.39,-0.86,5.53
4.898,3.49,-3.61,7.81
4.934,3.53,-3.14,11.34
4.965,-0.35,-2.04,18.01
4.998,-0.39,-3.69,15.06
5.032,5.37,-4.94,14.04
5.067,0.75,0.04,13.53
5.107,-2.2,-8.24,11.45
5.133,-1.65,-1.33,8.16
5.166,-2.12,-0.31,8.2
5.194,-0.75,-4,10.83
5.209,-3.14,-4.39,10.94
5.284,-1.45,-2.43,7.37
5.351,-2.67,-0.71,5.81
5.379,-3.41,-0.67,6.75
5.399,-1.88,-0.63,6.86
5.424,-3.02,-0.51,5.69
5.427,-0.98,-0.82,5.53
5.448,-2.63,0.39,9.1
5.477,-3.8,0.86,12.36
5.515,-5.22,-1.22,15.77
5.548,-2.35,0,11.61
5.592,-3.02,2.59,14.2
5.607,-5.06,-5.14,13.22
5.629,-10.28,3.88,7.77
5.663,-4.86,-0.08,11.14
5.698,-5.45,-6.04,13.65
5.732,-2.51,-5.81,14.36
5.766,-4.08,-0.82,12.36
5.798,-3.92,1.1,6.43
5.832,1.29,-2.79,4.71
5.865,-2.35,-1.84,5.1
5.907,0.63,-2.24,4.9
5.926,0.59,-2.47,5.26
5.941,0.86,-1.8,5.49
5.976,3.73,-2.67,7.45
6.01,3.65,-3.02,11.69
6.043,-1.22,-2.67,18.12
6.077,8.16,-5.41,12.28
6.114,3.69,-4.43,13.34
6.147,-0.47,-0.27,13.61
6.182,-5.77,-9.85,13.93
6.217,-1.41,-2.59,8.08
6.252,-1.65,0.39,8.71
6.284,-3.1,-1.8,11.89
6.318,-2.59,-4.55,10.9
6.339,-2.39,-2.47,7.57
6.362,-2.63,-0.94,6.24
6.394,-4,-0.2,7.26
6.43,-1.29,-0.08,7.02
6.463,-1.73,-0.27,6.47
6.497,0.43,-1.61,5.84
6.57,-2.43,1.1,8.24
6.588,-4.67,-0.12,12.16
6.639,-2.94,-2.39,14.12
6.707,-4.04,-0.08,12.36
6.776,-2.43,2.9,12.36
6.841,-4.43,-5.02,15.06
6.909,-9.89,1.92,10.87
6.944,-8.12,1.61,8.28
6.957,-2.55,-2.2,6.67
6.986,0.51,-2.24,4.12
7.018,0.39,-2.79,5.1
7.049,1.22,-1.02,6.16
7.083,3.14,-3.41,8.12
7.115,2.39,-2.82,10.71
7.142,-0.16,-2.55,16.71
7.171,-0.08,-2.82,15.89
7.204,6.28,-4,13.38
7.238,3.53,-0.08,12.67
7.274,-6.51,-7.14,10.51
7.308,-5.18,-5.77,12.36
7.341,-1.53,0.08,9.38
7.373,-3.02,-0.43,9.06
7.386,-2.94,-3.14,10.12
7.415,-2.79,-3.53,10.59
7.45,-2.98,-0.71,6.9
7.486,-2.94,0,6.16
7.519,-3.3,-0.31,7.77
7.551,-2.04,-0.75,8.04
7.585,-1.18,-0.71,6.2
7.621,-3.26,0.27,7.1
7.654,-2.39,-0.35,9.53
7.687,-4.04,-1.29,14.12
7.721,-1.18,-2.9,12.08
7.756,-3.37,2.86,12.16
7.788,-3.61,-5.33,14.36
7.859,-10.63,1.45,11.73
7.929,-8.67,1.45,7.73
7.959,-5.02,-5.73,15.49
7.992,0,-0.63,4.86
8.024,-1.96,-2.67,6.39
8.058,-0.59,-2.79,5.73
8.093,0.12,-2.75,5.96
8.126,0.75,-2.55,6.59
8.169,1.26,-1.88,6.12
8.185,2.63,-2.59,8.04
8.216,2.28,-1.84,11.77
8.25,-1.57,-1.96,16.87
8.285,7.34,-4.16,12.47
8.32,2.79,-3.61,13.61
8.352,-2.04,-2.35,12.83
8.389,-6.16,-10.98,14.51
8.46,-1.61,-0.94,7.49
8.527,-0.82,1.26,7.22
8.597,-2.63,-2.51,11.02
8.657,-2.35,-2.47,7.81
8.687,-1.49,-1.26,7.26
8.701,-1.69,-0.71,5.77
8.728,-3.61,-0.08,9.1
8.762,-4.94,-0.67,12.79
8.797,-3.22,-1.8,13.93
8.829,-3.41,-0.75,12.2
8.863,-2.67,2.67,12.55
8.896,-3.92,-4.16,14.71
8.931,-8.71,0.24,10.4
8.964,-10.55,2.86,8.59
8.997,-3.8,-6.75,12.51
9.034,-4.28,-5.69,15.22
9.068,-5.49,-1.26,13.93
9.14,-4.35,-0.04,6.86
9.208,-1.49,-1.37,5.33
9.24,-1.53,-2.35,5.69
9.242,0.08,-2.28,5.06
9.258,0.86,-2.9,5.61
9.272,1.61,-2.24,6.67
9.307,2.79,-2.94,10
9.34,2.04,-2.39,14.32
9.372,-1.61,-0.82,17.5
9.407,6.59,-4.39,11.81
9.442,4.63,-3.18,12.63
9.475,-3.57,-2.59,9.77
9.519,-6.2,-12.67,12.43
9.55,-2.71,-1.53,12.4
9.563,0.2,-0.2,5.92
9.596,-1.29,-2.43,8.98
9.637,-4.86,-3.49,11.34
9.669,-3.49,-1.65,9.45
9.708,-1.92,-0.86,3.73
9.739,-3.37,-1.69,7.88
9.78,-1.73,-1.06,8.12
9.793,-2.2,-0.12,7.73
10.11,-0.78,0.27,5.77
10.597,-2.35,0.67,8.47
10.665,-2.59,-1.41,11.69
10.744,-4.16,-2.16,14.32
10.748,-3.92,-6.08,14.87
10.764,-4.12,0,6.55
10.769,-4.75,9,6.85
10.79,-2.94,-1.69,6.04
10.811,-2.71,-0.94,7.88
10.861,-3.06,-0.24,7.22
10.897,-2.43,-0.63,5.77
10.929,-2.31,-1.14,6.94
10.964,-1.69,-0.12,8.28
10.993,-3.37,-0.35,11.41
11.005,-3.84,-1.96,13.53
11.039,-2.51,-0.08,11.18
11.071,-3.14,0.43,11.92
11.12,-5.81,-4.86,12.91
11.146,-9.85,2.59,9.57
11.183,-4.98,-2.31,11.1
11.216,-4.2,-5.92,12.2
11.25,1.22,-4.67,15.22
11.282,-4.82,0.08,11.1
11.314,-2.16,-1.18,6.47
11.328,-2,-2.39,6.24
11.36,-0.08,-2.51,4.51
11.394,0.78,-2.63,5.18
11.427,0.39,-3.57,6.35
11.459,0.2,-1.96,5.49
11.495,2.51,-2.24,7.1
11.528,3.3,-2.28,11.1
11.56,-0.43,-2,16.99
11.593,6.59,-5.3,14.51
11.63,3.96,-4.55,13.81
11.7,0.51,0.16,14.32
11.726,-6.12,-8.9,13.53
11.767,-3.53,-3.57,7.34
11.794,-2.94,-0.04,8.08
11.825,-1.1,-2.63,10.4
11.829,-2.86,-4.08,10.63
11.846,-1.1,-2.55,7.88
11.879,-2.39,-0.67,6.43
11.914,-3.45,0.08,6.59
11.947,-3.88,-0.12,8.16
11.983,-2.35,-0.67,8.16
12.017,-1.73,-1.33,7.06
12.049,-3.3,0.94,9.34
12.082,-3.61,-0.35,11.81
12.108,-3.26,-1.45,13.18
12.124,-2.04,-1.96,11.92
12.198,-3.41,3.65,11.18
12.224,-4.9,-4.08,14.91
12.271,-8.71,0.16,11.96
12.34,-7.1,-0.24,7.61
12.381,-4.16,-6.94,12.2
12.406,-4.43,-0.16,7.73
12.421,-0.39,-2.47,5.92
12.466,0.24,-2.82,5.02
12.495,-1.26,-2.43,5.92
12.516,-0.24,-2.67,6.24
12.55,0.35,-2.39,5.61
12.582,1.26,-2.47,5.77
12.615,2.31,-2.35,9.41
12.647,1.41,-1.41,14.55
12.68,-2.63,-2.28,17.38
12.716,5.96,-5.14,15.02
12.748,3.41,-2.43,13.18
12.782,-8.79,-10,14.44
12.816,-3.02,-6.79,9.3
12.836,-1.84,-0.47,8.08
12.858,-4.24,-1.02,9.02
