NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,24/05/2022 15:42,,
ACTIVITY TYPE:,Walking,,
Count of actual steps:,110,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
39.82,4.39,2.39,6.24
39.87,4.47,2.71,6.47
39.92,4.94,3.26,6.79
39.97,5.88,4.51,7.45
40.02,7.06,5.33,8.36
40.07,8.67,5.26,8.08
40.12,9.49,5.73,8.04
40.17,10.36,5.02,7.57
40.23,8.32,3.57,5.06
40.28,7.45,3.26,5.96
40.33,5.96,1.1,5.26
40.38,4.47,1.65,5.96
40.43,4.98,2.47,6.35
40.48,5.81,3.8,7.06
40.53,6.75,4.71,7.34
40.58,7.65,4.71,7.37
40.63,6.75,4.94,7.45
40.69,8.55,4.75,7.41
40.74,7.02,4.98,7.85
40.79,7.53,3.41,6.83
40.84,6.43,3.26,5.69
40.89,5.41,3.1,5.84
40.94,6.12,2.12,6.51
40.99,6.2,1.14,7.14
41.04,5.61,1.29,7.77
41.09,4.75,2.59,8.08
41.14,4.98,3.49,8.63
41.19,6.35,3.53,9.69
41.25,8.87,4.59,11.22
41.3,11.34,2.31,7.69
41.35,9.65,2.59,5.69
41.4,6.71,2.16,7.22
41.45,6.98,1.45,7.1
41.5,6.39,1.26,6.12
41.55,4.94,1.29,5.22
41.6,4.35,1.69,5.37
41.65,4.47,1.65,6.28
41.71,5.65,1.77,7.22
41.76,7.53,2.55,9.92
41.81,10.28,2.59,8.59
41.86,11.38,2.94,9.34
41.91,10.16,1.18,7.26
41.96,7.14,0.43,7.45
42.01,5.33,0.04,6.39
42.06,4.47,0.31,6.47
42.11,4.43,0.86,6.94
42.16,6,1.06,7.34
42.22,6.98,1.22,8.36
42.27,7.85,1.88,10.08
42.32,8.12,1.92,10.28
42.37,10.28,2.51,10.08
42.42,9.57,1.88,5.84
42.47,7.02,1.69,6.55
42.52,7.18,0.82,5.26
42.57,6.59,0.24,4.98
42.62,5.14,0.71,5.02
42.67,5.18,1.41,5.65
42.72,6.86,1.1,6.71
42.78,8.43,1.53,8.43
42.83,9.85,1.18,8.47
42.88,10.87,1.26,9.18
42.93,9.89,0.94,8.12
42.98,8.75,0.71,6.28
43.03,8.36,0.63,6.43
43.08,7.53,-0.35,6.08
43.13,5.57,0,6.39
43.18,4.94,0.71,6.12
43.24,5.45,1.88,6.47
43.29,5.84,2,7.53
43.34,6.55,2.28,8.75
43.39,8.55,2.2,9.41
43.44,10.2,2.79,10.43
43.49,12.98,1.49,9.14
43.54,9.34,1.65,5.65
43.59,6.83,2,5.73
43.64,6.67,1.45,4.82
43.69,6.12,1.29,4.59
43.74,4.98,1.41,4.79
43.8,5.57,1.14,5.92
43.85,6.75,0.94,7.37
43.9,8.63,0.78,8.36
43.95,10,1.18,8.94
44,11.45,1.57,8.98
44.05,10.98,1.37,7.73
44.1,8.71,0.9,6.79
44.15,6.94,0,6.32
44.2,5.61,-0.35,5.69
44.26,4.94,0.12,5.77
44.31,4.82,0.55,6.35
44.36,5.96,1.1,7.61
44.41,7.06,1.77,8.79
44.46,6.43,2.35,9.81
44.51,8.36,2.43,10
44.56,10.4,3.77,11.34
44.61,10.63,2.31,7.06
44.66,7.06,2.59,6.59
44.71,6.2,2,5.73
44.76,5.45,1.02,5.3
44.82,4.59,1.29,5.37
44.87,4.43,1.26,6
44.92,5.65,1.29,7.14
44.97,7.61,1.41,8.32
45.02,9.81,2,8.9
45.07,11.02,2.59,8.47
45.12,9.69,3.3,9.3
45.17,9.06,1.69,6.04
45.22,5.77,1.18,5.88
45.28,5.96,1.33,6.12
45.33,6.32,0.63,6.24
45.38,5.06,0.31,6.71
45.43,4.67,1.33,7.88
45.48,5.26,2.51,8.9
45.53,6.59,2.86,10.08
45.58,9.38,2.04,10.71
45.63,11.53,3.18,10.36
45.68,9.96,1.57,6.75
45.73,7.26,1.26,6.08
45.78,6.35,0.86,5.45
45.84,5.49,1.1,4.94
45.89,4.51,1.73,4.75
45.94,4.31,1.77,4.82
45.99,5.88,1.73,6.04
46.04,8.2,1.57,8.36
46.09,10.4,-0.04,9.57
46.14,11.02,-1.57,11.1
46.19,10.83,-0.35,9.1
46.24,9.73,0.35,6.55
46.29,8.59,0.04,5.1
46.35,6.28,-0.35,4.79
46.4,4.47,0.16,5.02
46.45,4,0.51,5.33
46.5,4.63,-0.08,6.51
46.55,5.37,-0.47,8.16
46.6,8.08,-1.57,10.12
46.65,10.12,-0.78,10.36
46.7,13.26,-0.9,11.06
46.75,12.08,0.04,8.12
46.81,7.92,1.49,6.63
46.86,6.71,1.22,5.33
46.91,5.96,0.59,5.18
46.96,5.26,0.55,4.63
47.01,5.33,0.59,4.79
47.06,6.67,0.71,5.65
47.11,8.04,-0.24,7.22
47.16,8.94,-0.39,7.77
47.21,11.65,1.73,8.04
47.26,12.91,3.92,10.43
47.31,10.63,1.29,6.35
47.37,8.2,0.71,4.86
47.42,6.28,-0.55,4.55
47.47,4.55,-0.31,4.94
47.52,4.31,0.08,5.53
47.57,4.35,0.78,6.55
47.62,5.26,1.69,8.08
47.67,7.49,1.53,9.65
47.72,8.16,1.57,11.02
47.77,10.04,2.08,10.28
47.83,10.87,2.75,9.22
47.88,8.9,2.24,6.12
47.93,7.53,2,5.81
47.98,7.26,0.86,5.3
48.03,6.71,0.55,5.26
48.08,5.69,0.63,4.94
48.13,5.73,0.31,5.65
48.18,6.59,-0.08,6.71
48.23,7.57,-0.16,7.69
48.28,9.77,-0.2,8.28
48.33,10.55,1.96,9.06
48.39,9.77,3.49,7.14
48.44,8.47,3.37,6.67
48.49,7.61,2.51,6.47
48.54,6.75,1.02,6.28
48.59,5.37,1.33,5.61
48.64,4.51,1.29,6.12
48.69,4.16,1.37,7.18
48.74,5.02,1.73,8.79
48.79,7.34,2.47,9.53
48.85,8.75,3.14,10.55
48.9,11.92,3.69,11.57
48.95,10.79,1.92,7.81
49,7.22,2,6
49.05,6.79,2.47,4.86
49.1,6.2,2.51,4.86
49.15,5.26,1.92,4.63
49.2,5.06,1.77,5.37
49.25,6.47,1.41,6.55
49.3,8.08,0.86,8.04
49.35,8.83,0.51,8.63
49.41,10.51,1.1,9.41
49.46,12.2,1.22,9.02
49.51,10.16,0.75,6.75
49.56,8.32,-0.08,6.24
49.61,6.2,-0.04,5.41
49.66,5.02,0.71,4.9
49.71,4.51,1.8,4.79
49.76,4.71,2.55,5.84
49.81,5.37,3.61,7.61
49.87,7.18,3.3,9.14
49.92,8.9,2.82,10.94
49.97,10,2.12,9.77
50.02,10.08,3.06,8.63
50.07,8.83,2.51,5.88
50.12,8.24,2.63,5.33
50.17,7.57,1.73,4.94
50.22,5.65,1.14,4.51
50.27,4.9,1.22,4.94
50.32,6.39,1.45,5.73
50.38,8.12,1.22,7.34
50.43,9.38,0.04,8
50.48,8.9,0.75,8.75
50.53,9.77,1.92,9.22
50.58,9.41,1.33,8.55
50.63,9.18,1.14,7.06
50.68,8.71,0.86,5.92
50.73,6.55,-0.16,5.41
50.78,4.75,0.94,4.86
50.83,4.39,1.37,5.57
50.88,4.63,1.61,6.67
50.94,5.22,2.59,7.96
50.99,7.37,3.88,8.47
51.04,7.69,5.53,8
51.09,10.94,6.39,7.85
51.14,10.9,4.2,6.47
51.19,9.45,3.84,6.08
51.24,8.83,3.02,5.22
51.29,6.55,2.31,4.51
51.34,4.86,1.49,4.39
51.4,4.98,1.8,4.59
51.45,5.77,2.12,5.14
51.5,6.67,2.2,6.51
51.55,7.96,2.35,8.16
51.6,9.57,3.37,8.71
51.65,10.94,3.96,9.1
51.7,10.08,2.94,7.49
51.75,8.32,2.51,7.02
51.8,7.06,1.37,6
51.85,5.1,1.45,5.37
51.9,4.24,1.92,5.33
51.96,4.82,2.55,5.61
52.01,4.86,3.22,6.51
52.06,6.08,4.16,7.77
52.11,8.16,4.35,9.34
52.16,10.04,4.43,10
52.21,11.53,4.16,9.3
52.26,8.67,3.1,6.24
52.31,6.2,3.06,5.18
52.36,6.32,2.43,4.9
52.42,6.43,1.45,4.51
52.47,5.41,1.45,5.1
52.52,5.92,1.69,6
52.57,7.65,1.49,7.34
52.62,9.53,0.47,8.39
52.67,9.81,0.59,9.02
52.72,10.04,0.47,8.63
52.77,9.96,0.63,7.92
52.82,9.06,0.51,7.02
52.87,8.08,-0.27,6.79
52.92,6.71,-0.43,6.39
52.98,5.22,0.16,5.96
53.03,4.71,0.47,6.32
53.08,5.14,0.94,7.06
53.13,6.79,2.04,7.49
53.18,7.18,3.33,8.55
53.23,8.39,3.37,9.22
53.28,8.98,3.22,9.85
53.33,9.34,2.75,9.92
53.38,9.26,1.96,7.26
53.44,7.02,2.16,6.12
53.49,6,1.73,5.22
53.54,5.33,1.1,4.59
53.59,5.57,1.22,4.98
53.64,6.71,1.06,5.33
53.69,7.88,0.67,6.86
53.74,8.75,0.2,8.43
53.79,9.14,0.08,9.57
53.84,10.04,-0.27,10.59
53.89,11.92,-2.75,10.12
53.94,8.36,-2.24,7.14
54,7.34,-0.78,6.08
54.05,6.2,0.16,5.22
54.1,4.28,0.67,5.22
54.15,3.96,1.06,5.53
54.2,4.35,1.84,6.08
54.25,5.92,2.63,7.81
54.3,7.49,2.94,9.73
54.35,8.67,1.53,10.67
54.4,10.16,1.73,14
54.46,9.41,-0.75,7.22
54.51,6.79,1.61,5.57
54.56,6.12,0.75,4.9
